Asset Key,Asset Name,Family,Control ID,Control Label,Control Title,Type,Implementation Action,Action Detail,Responsible Area,Estimated Hours,Completed,Action Notes,Generated At
app-005,EEEEE,AC,AC-1,AC-1,Policy and Procedures,Control,Confirm applicability of the organisation-level Access Control Policy and Procedures to EEEEE,"Record which sections of the organisation-level policy and procedures apply to EEEEE (e.g., personnel/contractor access, privileged access, exceptions, access reviews) and note any gaps requiring EEEEE-specific procedures.",Engineering Systems Team,2,No,"",2026-06-24 21:42
app-005,EEEEE,AC,AC-1,AC-1,Policy and Procedures,Control,Document EEEEE access control implementation mapping to the organisation-level Access Control Policy and Procedures,"Create a mapping table showing, for each relevant policy/procedure requirement, the EEEEE implementation method (including where enterprise services are inherited) and the evidence source.",Engineering Systems Team,6,No,"",2026-06-24 21:42
app-005,EEEEE,AC,AC-1,AC-1,Policy and Procedures,Control,Update the EEEEE System Security Plan (or equivalent security plan) to reference the organisation-level Access Control Policy and Procedures,"Add explicit references to the policy and procedures documents and list the EEEEE-owned responsibilities for access control (e.g., authorisation model, privileged access handling, exception workflow, access review execution).",Engineering Systems Team,3,No,"",2026-06-24 21:42
app-005,EEEEE,AC,AC-1,AC-1,Policy and Procedures,Control,Establish an EEEEE access request and approval workflow aligned to the organisation-level Access Control Procedures,"Implement a workflow that captures requester identity, role requested, justification, approver, approval outcome, and ticket linkage; ensure it routes approvals to the defined EEEEE procedure recipients.",Engineering Systems Team,16,No,"",2026-06-24 21:42
app-005,EEEEE,AC,AC-1,AC-1,Policy and Procedures,Control,Implement EEEEE privileged access handling in line with the organisation-level Access Control Procedures,"Configure EEEEE to enforce privileged role separation, require elevated authorisation via the defined workflow, and ensure privileged actions are logged with user identity and timestamps.",Engineering Systems Team,24,No,"",2026-06-24 21:42
app-005,EEEEE,AC,AC-1,AC-1,Policy and Procedures,Control,Configure EEEEE exception handling records to meet the organisation-level Access Control Procedures requirements,"Create an exception register capturing exception owner, scope, compensating controls, approval authority, start/end dates, and review/expiry dates; link each exception to the relevant access request record.",Engineering Systems Team,10,No,"",2026-06-24 21:42
app-005,EEEEE,AC,AC-1,AC-1,Policy and Procedures,Control,Define and document EEEEE periodic access review execution steps,"Write runbook steps for generating the access population, extracting current EEEEE authorisations, performing reviewer checks, recording outcomes, and triggering access changes based on results.",Engineering Systems Team,8,No,"",2026-06-24 21:42
app-005,EEEEE,AC,AC-1,AC-1,Policy and Procedures,Control,Integrate EEEEE access review evidence collection into the existing operational reporting process,"Update the operational reporting template/process to include access review outputs (review roster, results, exceptions, and remediation actions) and ensure evidence is retained for audit.",Engineering Systems Team,6,No,"",2026-06-24 21:42
app-005,EEEEE,AC,AC-1,AC-1,Policy and Procedures,Control,Assign EEEEE procedure execution responsibilities to named roles within the Engineering Systems Team,"Record named owners for access requests/approvals, privileged access administration, exception management, and access review execution, including deputies for cover during absences.",Engineering Systems Team,4,No,"",2026-06-24 21:42
app-005,EEEEE,AC,AC-1,AC-1,Policy and Procedures,Control,Run a first EEEEE compliance check against the organisation-level Access Control Policy and Procedures and record findings,"Execute a gap assessment covering access request workflow, privileged access handling, exception records, and access review execution; produce a remediation list with owners and due dates.",Engineering Systems Team,10,No,"",2026-06-24 21:42
app-005,EEEEE,AC,AC-1,AC-1,Policy and Procedures,Control,Create an EEEEE evidence pack for AC-1 demonstrating adherence to the organisation-level Access Control Policy and Procedures,"Compile the mapping document, updated System Security Plan references, workflow screenshots/config exports, exception register sample, access review runbook, evidence retention references, and the compliance check report.",Engineering Systems Team,8,No,"",2026-06-24 21:42
app-005,EEEEE,AC,AC-4(9),AC-4(9),Human Reviews,Enhancement,"Document the information-flow mapping in EEEEE for cross-domain transfers, external sharing, and Confidential/Secret dataset access",Record the exact EEEEE request/action types that correspond to each in-scope information flow and where the classification inputs are sourced.,Engineering Systems Team,4,No,"",2026-06-24 21:42
app-005,EEEEE,AC,AC-4(9),AC-4(9),Human Reviews,Enhancement,Configure EEEEE to derive dataset sensitivity (Confidential/Secret) from the data classification metadata it consumes,Map the consumed classification attribute(s) to EEEEE sensitivity states and ensure the mapping is consistent across all relevant APIs/workflows.,Engineering Systems Team,6,No,"",2026-06-24 21:42
app-005,EEEEE,AC,AC-4(9),AC-4(9),Human Reviews,Enhancement,Implement deterministic trigger detection in EEEEE for authorisation uncertainty scenarios,"Add explicit trigger logic for cases where policy evaluation returns cannot decide, inputs are missing/ambiguous, or conflicting rules are detected.",Engineering Systems Team,20,No,"",2026-06-24 21:42
