Asset Key,Asset Name,Family,Control ID,Control Label,Control Title,Type,Implementation Action,Action Detail,Responsible Area,Estimated Hours,Completed,Action Notes,Generated At
app-005,EEEEE,AT,AT-1,AT-1,Policy and Procedures,Control,Locate the enterprise awareness and training policy and procedures for EEEEE and confirm they are applicable to the application and its users,Use the organisation-level policy and procedures as the governing artefacts for the application; do not create a separate system-specific policy unless required by a gap.,Engineering Systems Team,2,No,"",2026-06-25 20:11
app-005,EEEEE,AT,AT-1,AT-1,Policy and Procedures,Control,Document EEEEE awareness and training responsibilities in the system security plan and privacy plan,"Record how the application team will implement the enterprise policy, including the roles responsible for awareness and training activities and the relevant user groups.",Engineering Systems Team,4,No,"",2026-06-25 20:11
app-005,EEEEE,AT,AT-1,AT-1,Policy and Procedures,Control,"Ensure the EEEEE awareness and training policy and procedures are disseminated to all employees, contractors, and third-party users with access to organisation systems and data",Confirm the approved policy and procedures are made available to the defined audience and that access to the current versions is maintained.,Engineering Systems Team,2,No,"",2026-06-25 20:11
app-005,EEEEE,AT,AT-1,AT-1,Policy and Procedures,Control,"Ensure the EEEEE awareness and training procedures are disseminated to all personnel with security or privacy responsibilities, including system owners, OT operators, and data stewards",Provide the procedures to the personnel who must carry out or support the awareness and training activities for the application.,Engineering Systems Team,2,No,"",2026-06-25 20:11
app-005,EEEEE,AT,AT-1,AT-1,Policy and Procedures,Control,"Record the CISO as the designated official for managing the development, documentation, and dissemination of the awareness and training policy and procedures",Reference the enterprise designation in the application compliance records and system documentation.,Enterprise Cyber Security,1,No,"",2026-06-25 20:11
app-005,EEEEE,AT,AT-1,AT-1,Policy and Procedures,Control,"Review the EEEEE system security plan and privacy plan to confirm the awareness and training policy addresses purpose, scope, roles, responsibilities, management commitment, coordination, and compliance",Verify the application documentation reflects the enterprise policy requirements and update the records where any application-specific references are needed.,Engineering Systems Team,3,No,"",2026-06-25 20:11
app-005,EEEEE,AT,AT-1,AT-1,Policy and Procedures,Control,"Update the EEEEE system security plan and privacy plan after security incidents or breaches, assessment or audit findings, or changes to applicable laws, executive orders, directives, regulations, policies, standards, or guidelines",Trigger a documentation review whenever one of the defined events occurs and capture any required changes to the application’s awareness and training references.,Engineering Systems Team,2,No,"",2026-06-25 20:11
app-005,EEEEE,AT,AT-1,AT-1,Policy and Procedures,Control,Update the EEEEE system security plan and privacy plan annually and after any major organisational or system change,Carry out the scheduled review and refresh the application’s awareness and training documentation to remain aligned with the current enterprise policy and procedures.,Engineering Systems Team,3,No,"",2026-06-25 20:11
app-005,EEEEE,AT,AT-2,AT-2,Literacy Training and Awareness,Control,Locate the enterprise literacy training and awareness policy and procedures for EEEEE and confirm the application team’s obligations,"Identify the required initial, recurring, and event-driven training and awareness requirements that apply to system users, including managers, senior executives, and contractors.",Engineering Systems Team,2,No,"",2026-06-25 20:11
app-005,EEEEE,AT,AT-2,AT-2,Literacy Training and Awareness,Control,Document EEEEE-specific literacy training and awareness content for security and privacy,"Cover security and privacy responsibilities, operations security, handling of personally identifiable information, and user actions for suspected incidents, aligned to the application’s authorised access and work environment.",Engineering Systems Team,6,No,"",2026-06-25 20:11
app-005,EEEEE,AT,AT-2,AT-2,Literacy Training and Awareness,Control,Document the EEEEE literacy training delivery process for new users and recurring training,Set out how initial training is provided to new users and how every 180-day security and privacy refresher training is assigned and tracked for EEEEE users.,Engineering Systems Team,4,No,"",2026-06-25 20:11
app-005,EEEEE,AT,AT-2,AT-2,Literacy Training and Awareness,Control,Document the EEEEE process for updating training and awareness content after required events,"Include updates triggered by phishing compromise, malware infection, credential sharing, policy non-compliance, repeated failed logon attempts, suspected data exfiltration, PII handling errors, HIPAA/GDPR breach indicators, unauthorised record access, major system changes, new threats, audit findings, security incidents or breaches, and changes to laws, directives, or policies.",Engineering Systems Team,4,No,"",2026-06-25 20:11
app-005,EEEEE,AT,AT-2,AT-2,Literacy Training and Awareness,Control,Implement the approved awareness techniques for EEEEE users,"Use the enterprise-approved posters, logon screen messages, email advisories, awareness events, and reminder supplies where EEEEE can influence user awareness within its operating context.",Engineering Systems Team,3,No,"",2026-06-25 20:11
app-005,EEEEE,AT,AT-2,AT-2,Literacy Training and Awareness,Control,Maintain training records for EEEEE users and evidence of completion,"Retain records showing initial training, every 180-day refresher training, and any event-driven updates for system users, including managers, senior executives, and contractors.",Engineering Systems Team,3,No,"",2026-06-25 20:11
app-005,EEEEE,AT,AT-2,AT-2,Literacy Training and Awareness,Control,"Review EEEEE training content and records after incidents, breaches, audit findings, or relevant policy and legal changes",Confirm that lessons learned and required changes have been incorporated into the application’s literacy training and awareness materials and that the updated content is in use.,Engineering Systems Team,2,No,"",2026-06-25 20:11
app-005,EEEEE,AT,AT-2(1),AT-2(1),Practical Exercises,Enhancement,"Locate the enterprise security awareness training policy, procedures, curriculum and materials applicable to EEEEE and confirm they cover practical literacy exercises and cyber-attack simulations",Use the enterprise-issued training artefacts as the authoritative basis for the application’s compliance approach and retain evidence of applicability for EEEEE.,Engineering Systems Team,2,No,"",2026-06-25 20:11
app-005,EEEEE,AT,AT-2(1),AT-2(1),Practical Exercises,Enhancement,Document in EEEEE’s system security plan and privacy plan how personnel with information security responsibilities will receive practical literacy exercises that simulate events and incidents,"Reference the specific training mechanisms used for EEEEE, including simulated social engineering and malicious email or web-link scenarios where applicable.",Engineering Systems Team,4,No,"",2026-06-25 20:11
app-005,EEEEE,AT,AT-2(1),AT-2(1),Practical Exercises,Enhancement,"Implement practical literacy exercises for EEEEE personnel using no-notice cyber-attack simulations that attempt to collect information, gain unauthorised access, or simulate malicious attachment and spear-phishing link impacts","Run the exercises for personnel who receive literacy training and for personnel with information security responsibilities, using the enterprise-approved simulation process.",Engineering Systems Team,8,No,"",2026-06-25 20:11
app-005,EEEEE,AT,AT-2(1),AT-2(1),Practical Exercises,Enhancement,Record completion and outcomes of the practical exercises for EEEEE and retain the supporting training records as compliance evidence,"Keep attendance, exercise results, and any follow-up actions as evidence that practical exercises in literacy training were provided.",Engineering Systems Team,2,No,"",2026-06-25 20:11
