Asset Key,Asset Name,Family,Control ID,Control Label,Control Title,Type,Implementation Action,Action Detail,Responsible Area,Estimated Hours,Completed,Action Notes,Generated At
app-005,EEEEE,SA,SA-1,SA-1,Policy and Procedures,Control,Locate the enterprise system and services acquisition policy and procedures for EEEEE and confirm they are applicable to the application’s acquisition activities,Use the enterprise-approved policy set as the governing source for EEEEE; do not create a separate application policy unless required by local scope.,Engineering Systems Team,2,No,"",2026-06-26 23:10
app-005,EEEEE,SA,SA-1,SA-1,Policy and Procedures,Control,Document EEEEE-specific system and services acquisition procedures that explain how the enterprise policy is implemented for the application,"Cover the application’s acquisition workflow, including how acquisition requirements are captured, reviewed, approved, and evidenced within the Engineering Systems Team’s process.",Engineering Systems Team,6,No,"",2026-06-26 23:10
app-005,EEEEE,SA,SA-1,SA-1,Policy and Procedures,Control,Assign the Chief Information Security Officer or delegated Security Policy Manager as the owner for EEEEE’s system and services acquisition policy and procedure documentation,"Record the named owner for development, documentation, dissemination, and maintenance of the application’s acquisition policy and procedures.",Enterprise Cyber Security,1,No,"",2026-06-26 23:10
app-005,EEEEE,SA,SA-1,SA-1,Policy and Procedures,Control,"Ensure EEEEE’s system and services acquisition procedures are disseminated to contracting officers, acquisition programme staff, and system security officers",Provide the current procedures to the roles identified in the control so they can apply them during acquisition and supplier activities.,Engineering Systems Team,2,No,"",2026-06-26 23:10
app-005,EEEEE,SA,SA-1,SA-1,Policy and Procedures,Control,Record EEEEE’s system and services acquisition policy and procedures in the application security documentation set,Include the procedures in the system security plan or a separate controlled document so they are available as compliance evidence.,Engineering Systems Team,2,No,"",2026-06-26 23:10
app-005,EEEEE,SA,SA-1,SA-1,Policy and Procedures,Control,Review and update EEEEE’s system and services acquisition policy annually,"Confirm the policy remains aligned to applicable laws, directives, regulations, standards, and organisational requirements.",Enterprise Cyber Security,2,No,"",2026-06-26 23:10
app-005,EEEEE,SA,SA-1,SA-1,Policy and Procedures,Control,"Review and update EEEEE’s system and services acquisition procedures annually and after audit findings, security incidents or breaches, major system or OT architecture changes, changes to laws or DoD directives, new or revised SA-family control requirements, changes to acquisition workflows, significant vendor or contracting changes, and regulatory updates",Use the specified triggers to refresh the documented procedures and retain evidence of the review and update.,Engineering Systems Team,4,No,"",2026-06-26 23:10
app-005,EEEEE,SA,SA-2,SA-2,Allocation of Resources,Control,Document EEEEE’s high-level information security requirements in the system security plan and mission/business requirements artefacts,"Capture the security requirements identified during business and mission planning, and ensure they are traceable in the application’s SSP and related requirements documentation.",Engineering Systems Team,6,No,"",2026-06-26 23:10
app-005,EEEEE,SA,SA-2,SA-2,Allocation of Resources,Control,Document EEEEE’s high-level privacy requirements in the privacy plan and mission/business requirements artefacts,"Record the privacy requirements identified during business and mission planning, even if no personal data is currently processed, and keep the privacy plan aligned to the application context.",Engineering Systems Team,4,No,"",2026-06-26 23:10
app-005,EEEEE,SA,SA-2,SA-2,Allocation of Resources,Control,Update EEEEE’s capital planning and investment control documentation to show the resources required for information security and privacy,"Ensure the application’s funding, staffing, and service dependencies for security and privacy are documented within the relevant capital planning and investment control records.",Aircraft Programmes Department,6,No,"",2026-06-26 23:10
app-005,EEEEE,SA,SA-2,SA-2,Allocation of Resources,Control,Establish discrete information security and privacy budget line items for EEEEE in programming and budgeting documentation,Create identifiable budget entries for security and privacy-related costs associated with EEEEE so they are separately visible in organisational budgeting records.,Enterprise Finance,4,No,"",2026-06-26 23:10
app-005,EEEEE,SA,SA-2,SA-2,Allocation of Resources,Control,Align EEEEE’s acquisition and supplier documentation with the system and services acquisition and supply chain risk management requirements,"Ensure the application’s acquisition strategy, supplier records, and supporting documentation reflect the required security, privacy, and supply chain risk considerations for the system lifecycle.",Engineering Systems Team,5,No,"",2026-06-26 23:10
app-005,EEEEE,SA,SA-3,SA-3,System Development Life Cycle,Control,Locate the enterprise system development life cycle policy and procedures for EEEEE and confirm the application lifecycle follows the DoD Risk Management Framework tailored SDLC with security and privacy engineering gates,"Map the application’s delivery, change, and release activities to the enterprise-approved SDLC process and record where security and privacy gates are applied.",Engineering Systems Team,4,No,"",2026-06-26 23:10
app-005,EEEEE,SA,SA-3,SA-3,System Development Life Cycle,Control,Document EEEEE system development life cycle activities and artefacts showing how information security and privacy requirements are incorporated from design through operation,"Include the application’s SDLC documentation, security design records, and release artefacts that demonstrate security and privacy considerations are embedded throughout the lifecycle.",Engineering Systems Team,6,No,"",2026-06-26 23:10
app-005,EEEEE,SA,SA-3,SA-3,System Development Life Cycle,Control,Document EEEEE security and privacy roles and responsibilities across the system development life cycle,"Identify the application-specific roles involved in requirements, design, build, test, release, and operation, and record their security and privacy responsibilities.",Engineering Systems Team,4,No,"",2026-06-26 23:10
app-005,EEEEE,SA,SA-3,SA-3,System Development Life Cycle,Control,Identify and record the individuals performing EEEEE information security and privacy responsibilities within the system development life cycle,Maintain an up-to-date list of named personnel who carry the security and privacy responsibilities for the application lifecycle activities.,Engineering Systems Team,3,No,"",2026-06-26 23:10
app-005,EEEEE,SA,SA-3,SA-3,System Development Life Cycle,Control,Align EEEEE security and privacy risk management activities to the enterprise risk management strategy and record the linkage in the system security plan and privacy documentation,"Show how application-level security and privacy risks are assessed, tracked, and treated in line with the organisation’s risk management approach.",Engineering Systems Team,5,No,"",2026-06-26 23:10
app-005,EEEEE,SA,SA-3,SA-3,System Development Life Cycle,Control,"Integrate EEEEE supply chain risk management checks into acquisition, development, integration, and release activities","Apply the approved supplier and acquisition procedures to the application’s lifecycle records and supplier-related decisions, and retain evidence of the checks performed.",Engineering Systems Team,4,No,"",2026-06-26 23:10
app-005,EEEEE,SA,SA-3,SA-3,System Development Life Cycle,Control,"Maintain EEEEE system security plan, privacy plan, privacy programme plan, enterprise architecture references, and data mapping records to reflect the current SDLC and control integration","Ensure the application’s compliance documentation shows how security, privacy, and supply chain considerations are addressed across the lifecycle.",Engineering Systems Team,6,No,"",2026-06-26 23:10
app-005,EEEEE,SA,SA-3,SA-3,System Development Life Cycle,Control,Ensure relevant EEEEE personnel complete the required role-based security and privacy training before performing SDLC duties,Retain training records for the people assigned security and privacy responsibilities for the application lifecycle.,Enterprise Human Resources,2,No,"",2026-06-26 23:10
app-005,EEEEE,SA,SA-3(1),SA-3(1),Manage Preproduction Environment,Enhancement,"Locate Enterprise security and system development lifecycle policies and ensure EEEEE’s development, test and integration environments comply with them",Apply the enterprise requirements for protecting preproduction environments throughout the system development life cycle.,Engineering Systems Team,2,No,"",2026-06-26 23:10
