Asset Key,Asset Name,Family,Control ID,Control Label,Control Title,Type,Implementation Action,Action Detail,Responsible Area,Estimated Hours,Completed,Action Notes,Generated At
app-005,EEEEE,MA,MA-1,MA-1,Policy and Procedures,Control,Locate the enterprise maintenance policy and procedures for EEEEE and confirm they are applicable to the application,Use the enterprise-issued policy set as the governing source for the application; no local policy creation is required.,Engineering Systems Team,1,No,"",2026-06-25 22:01
app-005,EEEEE,MA,MA-1,MA-1,Policy and Procedures,Control,Document EEEEE maintenance procedures that implement the enterprise maintenance policy for application support and maintenance activities,"Capture how maintenance controls are carried out for EEEEE, including the roles, steps, and records used by the Engineering Systems Team and maintenance personnel.",Engineering Systems Team,6,No,"",2026-06-25 22:01
app-005,EEEEE,MA,MA-1,MA-1,Policy and Procedures,Control,"Update the EEEEE maintenance procedures after security incidents or breaches, audit findings, major system changes, or changes to applicable laws or regulations","Ensure the procedure set is revised whenever one of the stated trigger events occurs, and retain the updated version as evidence.",Engineering Systems Team,2,No,"",2026-06-25 22:01
app-005,EEEEE,MA,MA-1,MA-1,Policy and Procedures,Control,"Disseminate the EEEEE maintenance procedures to system owners, OT/IT operations managers, and maintenance technicians",Provide the current procedures to the personnel and roles identified for maintenance execution and keep a record of distribution.,Engineering Systems Team,1,No,"",2026-06-25 22:01
app-005,EEEEE,MA,MA-1,MA-1,Policy and Procedures,Control,"Record the Security Policy Office as the organisation responsible for managing the development, documentation, and dissemination of the maintenance policy and procedures for EEEEE",Reference the enterprise owner in the application compliance documentation so the accountability requirement is evidenced.,Engineering Systems Team,1,No,"",2026-06-25 22:01
app-005,EEEEE,MA,MA-2,MA-2,Controlled Maintenance,Control,Review Enterprise maintenance policy and procedures for EEEEE and confirm local compliance requirements for controlled maintenance,"Map the enterprise requirements to EEEEE’s production maintenance, repair, replacement, approval, documentation, monitoring, sanitisation, and review steps.",Engineering Systems Team,2,No,"",2026-06-25 22:01
app-005,EEEEE,MA,MA-2,MA-2,Controlled Maintenance,Control,"Document EEEEE maintenance procedures covering scheduling, approval, performance, monitoring, and review of all on-site and remote maintenance activities","Include maintenance by local and non-local entities, and cover both servicing in place and removal to another location.",Engineering Systems Team,6,No,"",2026-06-25 22:01
app-005,EEEEE,MA,MA-2,MA-2,Controlled Maintenance,Control,"Document EEEEE maintenance record requirements to capture date and time, maintenance description, personnel names, escort name where applicable, and removed or replaced components and equipment identifiers","Ensure the record format also supports evidence of approval, monitoring, and post-maintenance checks.",Engineering Systems Team,4,No,"",2026-06-25 22:01
app-005,EEEEE,MA,MA-2,MA-2,Controlled Maintenance,Control,"Document EEEEE sanitisation procedure for components removed from organisational facilities for off-site maintenance, repair, or replacement","Require NIST SP 800-88 compliant sanitisation of all stored data and encryption keys, including configuration backups and logs, before removal.",Engineering Systems Team,4,No,"",2026-06-25 22:01
app-005,EEEEE,MA,MA-2,MA-2,Controlled Maintenance,Control,"Document EEEEE post-maintenance verification steps to confirm all potentially impacted controls still function correctly after maintenance, repair, or replacement",Define the checks to be completed and recorded before the system is returned to normal service.,Engineering Systems Team,4,No,"",2026-06-25 22:01
app-005,EEEEE,MA,MA-2,MA-2,Controlled Maintenance,Control,Ensure EEEEE maintenance records include the required information and are retained for review,"Populate records with the required date and time, maintenance description, personnel names, escort name if applicable, and removed or replaced components and equipment identifiers.",Engineering Systems Team,3,No,"",2026-06-25 22:01
app-005,EEEEE,MA,MA-2,MA-2,Controlled Maintenance,Control,"Ensure EEEEE maintenance activities are approved, with off-site removal explicitly approved by the Authorising Official or the system Security Officer","Apply the approval step before any maintenance begins, and separately before any system component leaves organisational facilities.",Engineering Systems Team,2,No,"",2026-06-25 22:01
app-005,EEEEE,MA,MA-2,MA-2,Controlled Maintenance,Control,Ensure EEEEE maintenance activities are monitored and records are reviewed in line with organisational requirements,Confirm that each maintenance event is observed or otherwise monitored and that completed records are checked against the required maintenance information.,Engineering Systems Team,3,No,"",2026-06-25 22:01
app-005,EEEEE,MA,MA-2(2),MA-2(2),Automated Maintenance Activities,Enhancement,"Document EEEEE maintenance procedures to use the approved ServiceNow workflow for scheduling maintenance, repair and replacement actions","Reference the enterprise-approved automated mechanism and define how maintenance windows, requests, approvals and status updates are handled for EEEEE.",Engineering Systems Team,4,No,"",2026-06-25 22:01
app-005,EEEEE,MA,MA-2(2),MA-2(2),Automated Maintenance Activities,Enhancement,Configure EEEEE maintenance activities to be raised and tracked through ServiceNow tickets linked to scheduled maintenance windows,"Ensure all maintenance, repair and replacement actions for EEEEE are initiated and controlled through the approved ITSM workflow.",Engineering Systems Team,6,No,"",2026-06-25 22:01
app-005,EEEEE,MA,MA-2(2),MA-2(2),Automated Maintenance Activities,Enhancement,Configure EEEEE controlled maintenance execution to use Ansible for approved patching and repair actions,Use the approved configuration management automation to conduct maintenance and repair actions under controlled change and maintenance processes.,Engineering Systems Team,8,No,"",2026-06-25 22:01
app-005,EEEEE,MA,MA-2(2),MA-2(2),Automated Maintenance Activities,Enhancement,"Configure EEEEE maintenance record generation to capture requested, scheduled, in-process and completed actions from ServiceNow and CMDB change logs","Ensure the automated record output is complete, accurate and up to date for maintenance, repair and replacement activities.",Engineering Systems Team,8,No,"",2026-06-25 22:01
app-005,EEEEE,MA,MA-2(2),MA-2(2),Automated Maintenance Activities,Enhancement,Update the EEEEE system security plan to describe the automated maintenance mechanisms and record-generation approach,"Record the use of ServiceNow, Ansible and automated maintenance records as the implemented control approach for the application.",Engineering Systems Team,4,No,"",2026-06-25 22:01
app-005,EEEEE,MA,MA-2(2),MA-2(2),Automated Maintenance Activities,Enhancement,"Verify that EEEEE maintenance records are complete and accurate for a sample of requested, scheduled, in-process and completed actions","Check that the produced records demonstrate the required maintenance lifecycle information for maintenance, repair and replacement activities.",Engineering Systems Team,2,No,"",2026-06-25 22:01
app-005,EEEEE,MA,MA-3,MA-3,Maintenance Tools,Control,"Locate the enterprise maintenance tools policy and procedures for EEEEE and confirm the application team’s obligations for approving, controlling, monitoring, and reviewing maintenance tools","Identify the approved process and any required records or evidence for maintenance tools used on or for EEEEE, including the 90-day review requirement for previously approved tools.",Engineering Systems Team,2,No,"",2026-06-25 22:01
app-005,EEEEE,MA,MA-3,MA-3,Maintenance Tools,Control,Document the maintenance tools used for EEEEE and record their approval status and associated supporting documentation,"Maintain a list of diagnostic and repair tools relevant to EEEEE, including any external, portable, cloud-based, or downloaded tools used by support personnel.",Engineering Systems Team,4,No,"",2026-06-25 22:01
app-005,EEEEE,MA,MA-3,MA-3,Maintenance Tools,Control,Establish a process for approving maintenance tools before they are used on EEEEE,"Ensure only approved tools are permitted for diagnostic and repair activities, with approval recorded in the application’s maintenance records or equivalent evidence set.",Engineering Systems Team,4,No,"",2026-06-25 22:01
