Asset Key,Asset Name,Family,Control ID,Control Label,Control Title,Type,Implementation Action,Action Detail,Responsible Area,Estimated Hours,Completed,Action Notes,Generated At
app-005,EEEEE,RA,RA-1,RA-1,Policy and Procedures,Control,Locate the enterprise risk assessment policy and procedures for EEEEE and confirm they are applicable to the application,Use the enterprise-level risk assessment policy and procedures as the governing documents for the application; do not create a separate application policy unless one is explicitly required.,Engineering Systems Team,2,No,"",2026-06-26 22:57
app-005,EEEEE,RA,RA-1,RA-1,Policy and Procedures,Control,Document EEEEE’s application-specific risk assessment procedures in the system security plan or a separate controlled document,"Describe how the enterprise risk assessment policy is implemented for EEEEE, including the roles, responsibilities, and steps used to carry out risk assessments for the application.",Engineering Systems Team,6,No,"",2026-06-26 22:57
app-005,EEEEE,RA,RA-1,RA-1,Policy and Procedures,Control,Record EEEEE’s risk assessment policy and procedures in the application security documentation set and make them available to the required personnel and roles,"Ensure dissemination to the CISO, security and privacy programme leads, system owners, and mission/business process owners for the policy, and to the risk management team, security engineers, privacy officers, and information system security officers for the procedures.",Engineering Systems Team,3,No,"",2026-06-26 22:57
app-005,EEEEE,RA,RA-1,RA-1,Policy and Procedures,Control,"Review EEEEE’s risk assessment procedures annually and update them when assessment or audit findings, security incidents or breaches, or significant changes to laws, directives, regulations, policies, standards, or guidelines occur",Capture the review outcome and any updates as controlled records linked to the application’s security documentation.,Engineering Systems Team,4,No,"",2026-06-26 22:57
app-005,EEEEE,RA,RA-2,RA-2,Security Categorization,Control,Document the security categorisation for EEEEE in the System Security Plan,"Record the system and information categorisation, including the supporting rationale, in the security plan for EEEEE.",Engineering Systems Team,4,No,"",2026-06-26 22:57
app-005,EEEEE,RA,RA-2,RA-2,Security Categorization,Control,Document the privacy implications for EEEEE in the privacy plan or equivalent record,Capture any relevant privacy risk or impact assessment findings that support the categorisation decision for EEEEE.,Engineering Systems Team,3,No,"",2026-06-26 22:57
app-005,EEEEE,RA,RA-2,RA-2,Security Categorization,Control,"Map the security categorisation for EEEEE to the information it processes, stores and transmits","Identify the categorisation outcome for the application and the information handled within its boundary, with supporting rationale.",Engineering Systems Team,4,No,"",2026-06-26 22:57
app-005,EEEEE,RA,RA-2,RA-2,Security Categorization,Control,Obtain review and approval of the security categorisation decision for EEEEE from the authorising official or designated representative,Submit the documented categorisation decision and supporting rationale for formal approval and retain the approval record.,"Enterprise Risk, Compliance & Assurance",2,No,"",2026-06-26 22:57
app-005,EEEEE,RA,RA-2(1),RA-2(1),Impact-level Prioritization,Enhancement,Locate the enterprise risk assessment policy and the security and privacy planning policy and procedures for EEEEE and confirm the application’s impact-level prioritisation approach is aligned to them,Use the enterprise-approved categorisation and planning artefacts as the basis for the application’s impact-level sub-categorisation work.,Engineering Systems Team,2,No,"",2026-06-26 22:57
app-005,EEEEE,RA,RA-2(1),RA-2(1),Impact-level Prioritization,Enhancement,Apply an impact-level prioritisation to EEEEE’s existing FIPS 199 system categorisation and define the appropriate sub-category impact level for the application,Use the high-water mark categorisation already assigned to the application and further partition it into a more granular impact designation for risk-based decision-making.,Engineering Systems Team,4,No,"",2026-06-26 22:57
app-005,EEEEE,RA,RA-2(1),RA-2(1),Impact-level Prioritization,Enhancement,"Document the impact-level prioritisation outcome in EEEEE’s security categorisation documentation, system security plan, and privacy plan",Record the resulting sub-category impact level and any relevant notes needed to support security control selection and baseline tailoring.,Engineering Systems Team,4,No,"",2026-06-26 22:57
app-005,EEEEE,RA,RA-2(1),RA-2(1),Impact-level Prioritization,Enhancement,Update EEEEE’s security categorisation records and supporting evidence to show the impact-level prioritisation was conducted,"Retain the categorisation decision, supporting rationale, and any related records as evidence for assessment and audit purposes.",Engineering Systems Team,2,No,"",2026-06-26 22:57
app-005,EEEEE,RA,RA-3,RA-3,Risk Assessment,Control,"Document EEEEE risk assessment report covering threats, vulnerabilities, likelihood, impact, and risk decisions","Include the likelihood and magnitude of harm from unauthorised access, use, disclosure, disruption, modification, or destruction of the application, its information, and related information. Record the report in the required risk assessment artefact.",Engineering Systems Team,8,No,"",2026-06-26 22:57
app-005,EEEEE,RA,RA-3,RA-3,Risk Assessment,Control,"Document EEEEE risk assessment inputs covering system design, intended use, testing results, and any relevant supply chain information",Capture the application-specific information needed to support the risk assessment and ensure external parties relevant to EEEEE are considered where applicable.,Engineering Systems Team,4,No,"",2026-06-26 22:57
app-005,EEEEE,RA,RA-3,RA-3,Risk Assessment,Control,Integrate EEEEE risk assessment results and risk management decisions with the system security plan and privacy plan,Ensure the application-level security and privacy planning records reflect the current risk assessment outcomes and any resulting decisions.,Engineering Systems Team,4,No,"",2026-06-26 22:57
app-005,EEEEE,RA,RA-3,RA-3,Risk Assessment,Control,"Review the EEEEE risk assessment every 90 days with the Authorizing Official, the Chief Information Security Officer, the system owner, and mission/business process owners",Disseminate the current risk assessment report to the required roles and capture their review outcomes as evidence.,"Enterprise Risk, Compliance & Assurance",4,No,"",2026-06-26 22:57
app-005,EEEEE,RA,RA-3,RA-3,Risk Assessment,Control,Update the EEEEE risk assessment annually and when significant changes occur to the application or its operating environment,"Refresh the risk assessment report whenever material changes affect the security or privacy state of the application, and retain the updated record as evidence.",Engineering Systems Team,6,No,"",2026-06-26 22:57
app-005,EEEEE,RA,RA-3(1),RA-3(1),Supply Chain Risk Assessment,Enhancement,"Identify all EEEEE systems, system components, and system services in scope for the supply chain risk assessment",Use the asset inventory for all on-prem mixed IT/OT operations to define the exact scope required by the control.,Engineering Systems Team,4,No,"",2026-06-26 22:57
app-005,EEEEE,RA,RA-3(1),RA-3(1),Supply Chain Risk Assessment,Enhancement,"Locate the enterprise supply chain risk management policy, risk assessment policy, security planning policy and procedures, acquisition policy, and supply chain risk management plan and confirm EEEEE compliance requirements",Use the enterprise-issued documents as the authoritative basis for the application-level assessment and record any EEEEE-specific obligations.,Engineering Systems Team,2,No,"",2026-06-26 22:57
app-005,EEEEE,RA,RA-3(1),RA-3(1),Supply Chain Risk Assessment,Enhancement,"Perform a supply chain risk assessment for EEEEE covering the identified systems, components, and services","Assess risks associated with disruption, defective components, counterfeits, theft, malicious development practices, improper delivery practices, and malicious code.",Engineering Systems Team,8,No,"",2026-06-26 22:57
app-005,EEEEE,RA,RA-3(1),RA-3(1),Supply Chain Risk Assessment,Enhancement,Document the supply chain risk assessment results and required mitigations for EEEEE,"Record the assessment outcome in the system security plan, supply chain risk management plan, or other relevant records as applicable.",Engineering Systems Team,4,No,"",2026-06-26 22:57
app-005,EEEEE,RA,RA-3(1),RA-3(1),Supply Chain Risk Assessment,Enhancement,Review and approve the supply chain risk assessment for EEEEE with security and risk stakeholders,Obtain review from personnel with security and supply chain risk management responsibilities and retain the approval record.,Engineering Systems Team,2,No,"",2026-06-26 22:57
app-005,EEEEE,RA,RA-3(1),RA-3(1),Supply Chain Risk Assessment,Enhancement,"Update the supply chain risk assessment for EEEEE at least annually and within 30 days of significant supply chain, system, environment, or operating condition changes",Trigger reassessment when changes occur that may affect supply chain risk and retain the updated assessment record.,Engineering Systems Team,3,No,"",2026-06-26 22:57
