Asset Key,Asset Name,Family,Control ID,Control Label,Control Title,Type,Implementation Action,Action Detail,Responsible Area,Estimated Hours,Completed,Action Notes,Generated At
app-005,EEEEE,PT,PT-1,PT-1,Policy and Procedures,Control,Locate the enterprise personally identifiable information processing and transparency policy and procedures applicable to EEEEE and confirm the asset’s compliance obligations,"Use the organisation-level policy and procedures as the governing source for the application. Confirm the scope, roles, responsibilities, and dissemination requirements that apply to EEEEE.",Engineering Systems Team,2,No,"",2026-06-26 22:48
app-005,EEEEE,PT,PT-1,PT-1,Policy and Procedures,Control,Document EEEEE-specific procedures for implementing the enterprise personally identifiable information processing and transparency policy and associated controls,"Capture how the policy is applied within EEEEE, including the relevant roles, responsibilities, and operating steps for the application boundary. Include the procedures in the system security and privacy documentation set if that is the approved repository.",Engineering Systems Team,6,No,"",2026-06-26 22:48
app-005,EEEEE,PT,PT-1,PT-1,Policy and Procedures,Control,"Record the Privacy Officer as the designated owner for development, documentation, and dissemination of the personally identifiable information processing and transparency policy and procedures for EEEEE",Ensure the application compliance record identifies the designated official responsible for the policy and procedure set used by EEEEE.,Engineering Systems Team,1,No,"",2026-06-26 22:48
app-005,EEEEE,PT,PT-1,PT-1,Policy and Procedures,Control,"Disseminate the applicable personally identifiable information processing and transparency policy to the Privacy Officer, CISO, Information System Owners, Data Stewards, and Legal and Compliance for EEEEE",Provide the current policy to the roles identified for receipt under the control and retain evidence of distribution.,Engineering Systems Team,1,No,"",2026-06-26 22:48
app-005,EEEEE,PT,PT-1,PT-1,Policy and Procedures,Control,"Disseminate the EEEEE procedures to the Privacy Officer, CISO, Information System Owners, Data Stewards, Security Operations, and Legal and Compliance",Provide the current procedures to the roles identified for receipt under the control and retain evidence of distribution.,Engineering Systems Team,1,No,"",2026-06-26 22:48
app-005,EEEEE,PT,PT-1,PT-1,Policy and Procedures,Control,"Review and update the EEEEE privacy-related procedures annually and after material assessment or audit findings, confirmed breach, changes to incident response or data handling processes, new or changed PII processing systems, or changes to applicable laws or guidance",Use the control’s stated triggers and annual cycle to keep the procedures current and aligned to the enterprise policy.,Engineering Systems Team,3,No,"",2026-06-26 22:48
app-005,EEEEE,PT,PT-1,PT-1,Policy and Procedures,Control,"Review and update the EEEEE privacy-related policy annually and after material assessment or audit findings, confirmed breach, changes to ITAR, EAR, HIPAA, GDPR, CMMC, or NIS2 requirements, or major system or data flow changes",Use the control’s stated triggers and annual cycle to keep the policy current and aligned to the enterprise policy.,Engineering Systems Team,3,No,"",2026-06-26 22:48
app-005,EEEEE,PT,PT-2,PT-2,Authority to Process Personally Identifiable Information,Control,Locate the approved privacy notice and System of Records Notice for EEEEE and record the authorised PII processing purposes that apply to the application,"Capture the permitted collection, use, storage, maintenance, dissemination, disclosure, and disposal purposes for EEEEE from the approved privacy notice/SORN and keep the reference with the application compliance records.",Engineering Systems Team,2,No,"",2026-06-26 22:48
app-005,EEEEE,PT,PT-2,PT-2,Authority to Process Personally Identifiable Information,Control,Document EEEEE's application-specific PII processing and transparency procedure,State that PII may only be processed for the authorised mission and compliance purposes defined in the approved privacy notice/SORN and any approved contracts or information-sharing agreements.,Engineering Systems Team,4,No,"",2026-06-26 22:48
app-005,EEEEE,PT,PT-2,PT-2,Authority to Process Personally Identifiable Information,Control,Map EEEEE's PII processing activities to the approved privacy notice/SORN and any approved contracts or information-sharing agreements,Identify each in-scope processing activity and confirm it is covered by the stated authorised purposes only; record any gaps for remediation before use.,Engineering Systems Team,4,No,"",2026-06-26 22:48
