Asset Key,Asset Name,Family,Control ID,Control Label,Control Title,Type,Implementation Action,Action Detail,Responsible Area,Estimated Hours,Completed,Action Notes,Generated At
app-005,EEEEE,CP,CP-1,CP-1,Policy and Procedures,Control,Locate the enterprise contingency planning policy and procedures for EEEEE and confirm they are applicable to the application,"Use the enterprise-level policy set as the governing source for the application; record the applicable scope, roles, and responsibilities for EEEEE.",Engineering Systems Team,2,No,"",2026-06-25 21:14
app-005,EEEEE,CP,CP-1,CP-1,Policy and Procedures,Control,Document EEEEE contingency planning procedures that show how the enterprise policy is implemented for the application,"Capture the application-specific steps, roles, and interfaces needed to support contingency planning within EEEEE, including how the procedures are carried out by the relevant roles.",Engineering Systems Team,6,No,"",2026-06-25 21:14
app-005,EEEEE,CP,CP-1,CP-1,Policy and Procedures,Control,Update the EEEEE system security plan to reference the contingency planning policy and procedures,"Include the contingency planning policy, the procedures used for EEEEE, and the relevant responsibilities and dissemination points in the system security documentation.",Engineering Systems Team,4,No,"",2026-06-25 21:14
app-005,EEEEE,CP,CP-1,CP-1,Policy and Procedures,Control,Disseminate the EEEEE contingency planning procedures to the relevant operational roles,"Provide the procedures to the application’s IT operations managers, incident response lead, business continuity coordinators, and system administrators.",Engineering Systems Team,2,No,"",2026-06-25 21:14
app-005,EEEEE,CP,CP-1,CP-1,Policy and Procedures,Control,"Review the EEEEE contingency planning policy and procedures after material changes, annual review points, and triggering events","Check the application documentation remains aligned to the current enterprise policy and update the EEEEE procedures and references when incidents, audit findings, major system changes, or other defined events occur.",Engineering Systems Team,3,No,"",2026-06-25 21:14
app-005,EEEEE,CP,CP-2,CP-2,Contingency Plan,Control,Locate the enterprise contingency planning policy and apply it to EEEEE,Confirm the application team is working to the enterprise contingency planning policy and any related standards or procedures that govern contingency planning for business applications.,Engineering Systems Team,1,No,"",2026-06-25 21:15
app-005,EEEEE,CP,CP-2,CP-2,Contingency Plan,Control,Document EEEEE contingency operations procedures,"Cover orderly degradation, system shutdown, fallback to manual mode, alternate information flows, and operating modes reserved for attack conditions, as applicable to EEEEE.",Engineering Systems Team,6,No,"",2026-06-25 21:15
app-005,EEEEE,CP,CP-2,CP-2,Contingency Plan,Control,Write the EEEEE contingency plan,"Include essential mission and business functions, contingency requirements, recovery objectives, restoration priorities, contingency roles and responsibilities, assigned contacts, and how EEEEE will maintain essential functions during disruption, compromise, or failure and restore fully without weakening planned controls.",Engineering Systems Team,8,No,"",2026-06-25 21:15
app-005,EEEEE,CP,CP-2,CP-2,Contingency Plan,Control,"Distribute the EEEEE contingency plan to the SOC, NOC, IT Operations, and the COOP team",Provide the current approved plan to the organisation-defined key contingency personnel and organisational elements that need it for execution and coordination.,Engineering Systems Team,2,No,"",2026-06-25 21:15
app-005,EEEEE,CP,CP-2,CP-2,Contingency Plan,Control,Coordinate EEEEE contingency planning with incident handling activities,Align the application contingency plan with incident response procedures so contingency actions can be activated during an incident and do not conflict with any automatic disablement requirements.,Engineering Systems Team,4,No,"",2026-06-25 21:15
