Asset Key,Asset Name,Family,Control ID,Control Label,Control Title,Type,Implementation Action,Action Detail,Responsible Area,Estimated Hours,Completed,Action Notes,Generated At
app-005,EEEEE,CA,CA-1,CA-1,Policy and Procedures,Control,"Locate the enterprise assessment, authorisation, and monitoring policy and procedures for EEEEE and confirm they are the current approved versions",Use the enterprise-issued organisation-level policy and procedures as the authoritative basis for the application’s compliance activities.,Engineering Systems Team,2,No,"",2026-06-25 20:45
app-005,EEEEE,CA,CA-1,CA-1,Policy and Procedures,Control,"Document EEEEE-specific assessment, authorisation, and monitoring procedures in the system security plan or a separate controlled document","Describe how the enterprise policy is implemented for EEEEE, including assessment initiation, authorisation decision support, and monitoring evidence collection.",Engineering Systems Team,6,No,"",2026-06-25 20:45
app-005,EEEEE,CA,CA-1,CA-1,Policy and Procedures,Control,"Record EEEEE roles and responsibilities for assessment, authorisation, and monitoring activities",Assign the application-side responsibilities for the Engineering Systems Team and the relevant enterprise roles that consume the procedures.,Engineering Systems Team,3,No,"",2026-06-25 20:45
app-005,EEEEE,CA,CA-1,CA-1,Policy and Procedures,Control,"Disseminate the EEEEE assessment, authorisation, and monitoring procedures to the CISO, Security Governance Lead, Privacy Officer, and assessment/authorisation workflow owners",Provide the controlled procedures to the roles identified in the organisation-defined dissemination list.,Engineering Systems Team,2,No,"",2026-06-25 20:45
app-005,EEEEE,CA,CA-1,CA-1,Policy and Procedures,Control,"Maintain EEEEE evidence records that support assessment, authorisation, and monitoring activities",Keep the application-specific records needed to demonstrate implementation of the procedures and support assessment and authorisation decisions.,Engineering Systems Team,4,No,"",2026-06-25 20:45
app-005,EEEEE,CA,CA-1,CA-1,Policy and Procedures,Control,"Review and update the EEEEE assessment, authorisation, and monitoring procedures annually and after relevant triggering events","Update the controlled procedures following material audit findings, security incidents or breaches, workflow changes, tooling or logging changes, incident response or account review changes, and significant organisational restructuring.",Engineering Systems Team,3,No,"",2026-06-25 20:45
app-005,EEEEE,CA,CA-2,CA-2,Control Assessments,Control,Select an appropriate assessor or assessment team for EEEEE’s 90-day control assessments and record their competence and independence,Use personnel with the required control assessment skills and technical knowledge for the application and its production environment. Retain evidence that the selected assessor(s) are suitably independent for the assessment being performed.,Engineering Systems Team,4,No,"",2026-06-25 20:45
app-005,EEEEE,CA,CA-2,CA-2,Control Assessments,Control,"Document a consolidated control assessment plan for EEEEE covering the in-scope controls, production assessment environment, assessment procedures, assessment team, and assessment roles and responsibilities","Ensure the plan clearly defines what will be assessed in EEEEE, where the assessment will occur, how effectiveness will be tested, who will perform each activity, and how security and privacy controls are covered.",Engineering Systems Team,8,No,"",2026-06-25 20:45
app-005,EEEEE,CA,CA-2,CA-2,Control Assessments,Control,Obtain approval of the EEEEE control assessment plan from the authorising official or designated representative before conducting the assessment,Submit the completed plan for pre-assessment review and retain the approval record as evidence.,Engineering Systems Team,2,No,"",2026-06-25 20:45
app-005,EEEEE,CA,CA-2,CA-2,Control Assessments,Control,Conduct the EEEEE control assessment in production every 90 days in accordance with the approved assessment plan,"Assess the implemented controls in EEEEE and its production environment to confirm they are implemented correctly, operating as intended, and producing the required security and privacy outcomes.",Engineering Systems Team,8,No,"",2026-06-25 20:45
app-005,EEEEE,CA,CA-2,CA-2,Control Assessments,Control,Produce a control assessment report for EEEEE documenting the assessment results and supporting evidence,"Record the assessment outcomes with sufficient detail to show what was tested, what evidence was reviewed, and whether each control was effective.",Engineering Systems Team,6,No,"",2026-06-25 20:45
app-005,EEEEE,CA,CA-2,CA-2,Control Assessments,Control,"Distribute the EEEEE control assessment results to the authorising official, designated representative, senior agency information security officer, and system security/privacy leads",Provide the completed assessment report to each required role and retain evidence of distribution.,Engineering Systems Team,2,No,"",2026-06-25 20:45
app-005,EEEEE,CA,CA-2(1),CA-2(1),Independent Assessors,Enhancement,Locate the enterprise assessment and authorisation policy and confirm the independence level required for EEEEE control assessments,Record the required assessor independence criteria for this application so assessment planning can use the approved enterprise position.,Engineering Systems Team,2,No,"",2026-06-25 20:45
app-005,EEEEE,CA,CA-2(1),CA-2(1),Independent Assessors,Enhancement,"Select an assessor or assessment team for EEEEE that has no development, operational, sustainment, management, or approval involvement with the application",Use an internal or contracted assessor arrangement that preserves impartiality and avoids any self-assessment or conflict of interest.,Engineering Systems Team,4,No,"",2026-06-25 20:45
app-005,EEEEE,CA,CA-2(1),CA-2(1),Independent Assessors,Enhancement,Record conflict-of-interest declarations for the appointed EEEEE assessor or assessment team before each control assessment,"Retain evidence that the assessor is not acting as management, employee, advocate, or otherwise in a conflicting role for the application.",Engineering Systems Team,2,No,"",2026-06-25 20:45
