Asset Key,Asset Name,Family,Control ID,Control Label,Control Title,Type,Implementation Action,Action Detail,Responsible Area,Estimated Hours,Completed,Action Notes,Generated At
app-005,EEEEE,IR,IR-1,IR-1,Policy and Procedures,Control,Locate the enterprise incident response policy and procedures for EEEEE and confirm they are current and applicable to the application,Use the organisation-level incident response policy and procedures as the governing documents for EEEEE; verify they cover the application’s operating context and required roles.,Engineering Systems Team,2,No,"",2026-06-25 21:47
app-005,EEEEE,IR,IR-1,IR-1,Policy and Procedures,Control,Document EEEEE-specific incident response procedures that explain how the enterprise incident response policy is implemented for the application,"Capture the application’s incident handling steps, including how responders, system owners, IT operations, privacy, and legal/compliance are engaged for EEEEE.",Engineering Systems Team,6,No,"",2026-06-25 21:47
app-005,EEEEE,IR,IR-1,IR-1,Policy and Procedures,Control,Record EEEEE incident response roles and responsibilities in the system security plan or a separate controlled document,Map the application’s incident response responsibilities to the relevant personnel and roles so the procedures are actionable and traceable.,Engineering Systems Team,4,No,"",2026-06-25 21:47
app-005,EEEEE,IR,IR-1,IR-1,Policy and Procedures,Control,Disseminate the applicable incident response policy and EEEEE incident response procedures to the required personnel and roles,"Provide the policy to CISO, SOC leadership, incident responders, security engineering, privacy officer, legal/compliance, IT operations, and system owners; provide the procedures to SOC analysts, on-call incident responders, OT security engineers, IT operations, network/security administrators, system owners, privacy officer, and legal/compliance.",Engineering Systems Team,2,No,"",2026-06-25 21:47
app-005,EEEEE,IR,IR-1,IR-1,Policy and Procedures,Control,"Review and update the EEEEE incident response procedures after a major security incident, audit finding, breach notification, material law or regulation change, CMMC assessment outcome, or significant system or architecture change",Ensure the application-specific procedures remain aligned to the enterprise policy and reflect any triggering event affecting EEEEE.,Engineering Systems Team,3,No,"",2026-06-25 21:47
app-005,EEEEE,IR,IR-2,IR-2,Incident Response Training,Control,Locate the enterprise incident response policy and procedures for EEEEE and map the application team’s incident response training obligations to assigned roles and responsibilities,"Confirm the required training content for users, administrators, and incident responders, including reporting suspicious activity and role-specific handling expectations.",Engineering Systems Team,2,No,"",2026-06-25 21:47
app-005,EEEEE,IR,IR-2,IR-2,Incident Response Training,Control,Write EEEEE incident response training curriculum and materials aligned to the assigned roles and responsibilities,"Include user guidance on recognising and reporting suspicious activity, administrator guidance on handling incidents, and responder guidance on forensics, data collection, reporting, recovery, and restoration as applicable.",Engineering Systems Team,6,No,"",2026-06-25 21:47
app-005,EEEEE,IR,IR-2,IR-2,Incident Response Training,Control,Deliver incident response training to EEEEE system users within 30 days of assuming an incident response role or acquiring system access,"Ensure each person receives the role-appropriate content required for their access and responsibilities, and retain attendance or completion evidence.",Engineering Systems Team,4,No,"",2026-06-25 21:47
app-005,EEEEE,IR,IR-2,IR-2,Incident Response Training,Control,Deliver incident response training to EEEEE system users annually thereafter,Provide refresher training at the required frequency and retain completion records for audit evidence.,Engineering Systems Team,4,No,"",2026-06-25 21:47
app-005,EEEEE,IR,IR-2,IR-2,Incident Response Training,Control,"Update EEEEE incident response training content following incident response plan testing results, lessons learned from actual incidents, audit or assessment findings, and changes to laws, directives, regulations, policies, standards, or guidelines","Revise the curriculum and materials when any of the specified events occur, and record the update trigger and approval evidence.",Engineering Systems Team,3,No,"",2026-06-25 21:47
app-005,EEEEE,IR,IR-2(1),IR-2(1),Simulated Events,Enhancement,Review the Enterprise incident response policy and incident response plan for EEEEE and record the application-specific incident response responsibilities that must be exercised in training,Map the application team’s operational and information security responsibilities to the enterprise incident response requirements so the training content reflects EEEEE’s actual crisis response duties.,Engineering Systems Team,2,No,"",2026-06-25 21:47
app-005,EEEEE,IR,IR-2(1),IR-2(1),Simulated Events,Enhancement,Write EEEEE incident response training procedures that require simulated events to be used in training exercises,"Define how simulated events will be incorporated into training for the application team, including the expected response actions for crisis situations.",Engineering Systems Team,4,No,"",2026-06-25 21:47
app-005,EEEEE,IR,IR-2(1),IR-2(1),Simulated Events,Enhancement,Update the EEEEE incident response training curriculum and materials to include simulated event scenarios relevant to the application,Include scenario-based exercises that test personnel understanding of their individual responsibilities and required actions during an incident affecting EEEEE.,Engineering Systems Team,6,No,"",2026-06-25 21:47
app-005,EEEEE,IR,IR-2(1),IR-2(1),Simulated Events,Enhancement,Conduct and record simulated incident response training for EEEEE personnel with incident response and information security responsibilities,"Run the training using simulated events and retain attendance, exercise outputs, and completion records as evidence that personnel were trained to respond in crisis situations.",Engineering Systems Team,4,No,"",2026-06-25 21:47
app-005,EEEEE,IR,IR-2(2),IR-2(2),Automated Training Environments,Enhancement,"Locate the enterprise incident response policy, incident response plan, and incident response training procedure applicable to EEEEE and confirm the training environment requirements for automated mechanisms are understood",Use the enterprise-owned documents as the authoritative basis for the application’s training environment and align the local implementation to the required automated tabletop and inject-based simulations.,Engineering Systems Team,2,No,"",2026-06-25 21:47
app-005,EEEEE,IR,IR-2(2),IR-2(2),Automated Training Environments,Enhancement,"Document an EEEEE incident response training environment procedure that uses automated tabletop and inject-based simulations with playbook-driven actions, evidence capture, and after-action scoring",Describe how the application team will run realistic incident response training scenarios for EEEEE using the organisation-defined automated mechanisms.,Engineering Systems Team,6,No,"",2026-06-25 21:47
app-005,EEEEE,IR,IR-2(2),IR-2(2),Automated Training Environments,Enhancement,Update the EEEEE incident response training curriculum and training materials to include the automated tabletop and inject-based simulation approach,"Ensure the curriculum and materials reflect the playbook-driven actions, evidence capture, and after-action scoring required for the training environment.",Engineering Systems Team,6,No,"",2026-06-25 21:47
app-005,EEEEE,IR,IR-2(2),IR-2(2),Automated Training Environments,Enhancement,Run an incident response training exercise for EEEEE using the automated tabletop and inject-based simulation environment,Execute a realistic scenario that stresses the response capability and uses the approved playbooks and injects for the application context.,Engineering Systems Team,8,No,"",2026-06-25 21:47
app-005,EEEEE,IR,IR-2(2),IR-2(2),Automated Training Environments,Enhancement,Capture and retain the exercise evidence and after-action scoring for the EEEEE incident response training event,"Keep records of scenario execution, participant actions, captured evidence, and scoring as compliance artefacts for the training environment.",Engineering Systems Team,2,No,"",2026-06-25 21:47
