Asset Key,Asset Name,Family,Control ID,Control Label,Control Title,Type,Implementation Action,Action Detail,Responsible Area,Estimated Hours,Completed,Action Notes,Generated At
app-005,EEEEE,PS,PS-1,PS-1,Policy and Procedures,Control,Locate the enterprise personnel security policy and procedures applicable to EEEEE and confirm the asset’s operating processes align with them,Use the organisation-level policy and procedures as the authoritative basis for the application’s personnel security handling; record any local deviations or gaps for remediation.,Engineering Systems Team,2,No,"",2026-06-26 22:42
app-005,EEEEE,PS,PS-1,PS-1,Policy and Procedures,Control,Document EEEEE personnel security procedures for the application team roles that implement the enterprise policy,"Capture how the policy is applied for the application’s operational context, including the roles that handle personnel security responsibilities for the asset.",Engineering Systems Team,4,No,"",2026-06-26 22:42
app-005,EEEEE,PS,PS-1,PS-1,Policy and Procedures,Control,Update the EEEEE system security plan and privacy plan to reference the applicable personnel security policy and procedures,Ensure the plans show how personnel security requirements are implemented for the asset and where the supporting procedures are maintained.,Engineering Systems Team,3,No,"",2026-06-26 22:42
app-005,EEEEE,PS,PS-1,PS-1,Policy and Procedures,Control,"Confirm the Personnel Security Policy Owner within the Security Office is identified as the authority for development, documentation, and dissemination of the personnel security policy and procedures",Record the named owner in the asset’s compliance evidence so the organisation-defined management responsibility is traceable.,Enterprise Cyber Security,1,No,"",2026-06-26 22:42
app-005,EEEEE,PS,PS-1,PS-1,Policy and Procedures,Control,"Disseminate the applicable personnel security policy and procedures to HR/Personnel Security staff, security programme managers, and system/OT site security leads supporting EEEEE",Provide the current documents to the required recipients and retain evidence of distribution.,Engineering Systems Team,2,No,"",2026-06-26 22:42
app-005,EEEEE,PS,PS-1,PS-1,Policy and Procedures,Control,"Review EEEEE personnel security procedures after security incidents, audit findings, or changes to applicable laws, directives, or regulations and update the documented procedures within 30 days",Trigger the review when the specified events occur and retain the updated procedure version as evidence.,Engineering Systems Team,2,No,"",2026-06-26 22:42
app-005,EEEEE,PS,PS-2,PS-2,Position Risk Designation,Control,Locate the enterprise personnel security policy and procedures for position risk designation and apply them to EEEEE,"Confirm the application team understands the enterprise requirements for assigning, reviewing, and updating position risk designations for roles that support EEEEE.",Engineering Systems Team,2,No,"",2026-06-26 22:42
app-005,EEEEE,PS,PS-2,PS-2,Position Risk Designation,Control,Document the position risk designation for each organisational role that supports EEEEE,"Maintain a list of the relevant positions, their assigned risk designation, and the basis for each designation in the application security documentation set.",Engineering Systems Team,4,No,"",2026-06-26 22:42
app-005,EEEEE,PS,PS-2,PS-2,Position Risk Designation,Control,Establish screening criteria for individuals filling positions that support EEEEE,"Record the screening criteria used for roles with access to EEEEE, aligned to the assigned position risk designations and any information security role appointment requirements.",Engineering Systems Team,4,No,"",2026-06-26 22:42
app-005,EEEEE,PS,PS-2,PS-2,Position Risk Designation,Control,Record position risk designation review and update evidence for EEEEE every 90 days,"Keep dated records showing each review, any changes made to designations or screening criteria, and the approval or sign-off for the update.",Engineering Systems Team,2,No,"",2026-06-26 22:42
app-005,EEEEE,PS,PS-2,PS-2,Position Risk Designation,Control,Update the system security plan for EEEEE to reference the position risk designation process and related screening criteria,"Include the relevant designation list, review cadence, and the process used by the Engineering Systems Team to apply the enterprise requirements within the application context.",Engineering Systems Team,3,No,"",2026-06-26 22:42
app-005,EEEEE,PS,PS-3,PS-3,Personnel Screening,Control,Document personnel screening procedures for EEEEE covering pre-authorisation checks and rescreening triggers,"Align the application’s onboarding and access approval process to the enterprise personnel security policy, including screening before access is granted and the organisation-defined rescreening conditions for Secret and Confidential access, material role changes, material risk designation changes, and termination/rehire into a covered role.",Engineering Systems Team,6,No,"",2026-06-26 22:42
app-005,EEEEE,PS,PS-3,PS-3,Personnel Screening,Control,Record screened personnel for EEEEE and retain evidence of screening decisions before access is authorised,"Maintain application-level records or an access approval register showing which individuals have been screened prior to being granted access, with references to the relevant screening outcome or approval evidence.",Engineering Systems Team,4,No,"",2026-06-26 22:42
app-005,EEEEE,PS,PS-3,PS-3,Personnel Screening,Control,Update the EEEEE system security plan to describe personnel screening and rescreening arrangements,"Document how the application relies on enterprise personnel security processes, the screening evidence required before access, and the rescreening conditions and frequencies applicable to users with Secret or Confidential access.",Engineering Systems Team,4,No,"",2026-06-26 22:42
app-005,EEEEE,PS,PS-3,PS-3,Personnel Screening,Control,Verify that access to EEEEE is only approved after personnel screening evidence is confirmed,Check the joiner/mover/access request process for the application and ensure no user is provisioned until the required screening evidence has been validated by the responsible approver.,Engineering Systems Team,2,No,"",2026-06-26 22:42
app-005,EEEEE,PS,PS-3,PS-3,Personnel Screening,Control,"Apply rescreening actions for EEEEE users when Secret or Confidential access, role changes, risk changes, or rehire conditions occur","Trigger the required rescreening workflow for affected users in line with the defined conditions and frequencies: annually for Secret, every 5 years for Confidential, and within 30 days after a material role or risk change.",Engineering Systems Team,4,No,"",2026-06-26 22:42
app-005,EEEEE,PS,PS-3(1),PS-3(1),Classified Information,Enhancement,Locate the enterprise personnel security policy and procedures for screened access to classified information and confirm EEEEE is operating in line with them,Use the enterprise-approved personnel screening and indoctrination process as the basis for local compliance for this application.,Engineering Systems Team,2,No,"",2026-06-26 22:43
app-005,EEEEE,PS,PS-3(1),PS-3(1),Classified Information,Enhancement,Document in EEEEE’s system security plan the requirement that only cleared and indoctrinated individuals may access classified information on the system,State the highest classification level permitted for access and reference the applicable enterprise personnel security and access authorisation arrangements.,Engineering Systems Team,4,No,"",2026-06-26 22:43
app-005,EEEEE,PS,PS-3(1),PS-3(1),Classified Information,Enhancement,Verify that each individual with access to EEEEE has the required security clearance for the highest classification level of information they can access,Check current screened personnel records or equivalent enterprise evidence before access is granted or retained.,Engineering Systems Team,4,No,"",2026-06-26 22:43
app-005,EEEEE,PS,PS-3(1),PS-3(1),Classified Information,Enhancement,Verify that each individual with access to EEEEE has been indoctrinated to the highest classification level of information they can access,Confirm indoctrination status against enterprise personnel security records before allowing access to classified information.,Engineering Systems Team,4,No,"",2026-06-26 22:43
app-005,EEEEE,PS,PS-3(1),PS-3(1),Classified Information,Enhancement,Record and retain evidence of clearance and indoctrination checks for all authorised users of EEEEE,Keep the screened personnel records or other relevant evidence needed to demonstrate compliance during assessment or audit.,Engineering Systems Team,3,No,"",2026-06-26 22:43
app-005,EEEEE,PS,PS-3(2),PS-3(2),Formal Indoctrination,Enhancement,Locate the enterprise personnel security policy and formal indoctrination procedure applicable to EEEEE and confirm the system’s classified information categories and access population,"Use the approved enterprise policy set as the governing source for SAP, RD and SCI indoctrination requirements. Identify which users of EEEEE have access to each relevant classified information type.",Engineering Systems Team,2,No,"",2026-06-26 22:43
app-005,EEEEE,PS,PS-3(2),PS-3(2),Formal Indoctrination,Enhancement,Document in the EEEEE system security plan the formal indoctrination requirement for every classified information type accessible on the system,"Record the relevant information types, the requirement that access is only permitted after formal indoctrination, and the evidence sources used to demonstrate compliance.",Engineering Systems Team,4,No,"",2026-06-26 22:43
app-005,EEEEE,PS,PS-3(2),PS-3(2),Formal Indoctrination,Enhancement,Verify that each individual with access to EEEEE has current formal indoctrination records for all relevant classified information types,"Check screened personnel records and indoctrination documents for SAP, RD and SCI as applicable to each user’s actual system access.",Engineering Systems Team,4,No,"",2026-06-26 22:43
app-005,EEEEE,PS,PS-3(2),PS-3(2),Formal Indoctrination,Enhancement,Remove or suspend EEEEE access for any individual who lacks formal indoctrination for one or more classified information types they can access,Use the access review outcome to ensure no user retains access to information types for which formal indoctrination is missing or incomplete.,Engineering Systems Team,2,No,"",2026-06-26 22:43
app-005,EEEEE,PS,PS-3(2),PS-3(2),Formal Indoctrination,Enhancement,Retain evidence in EEEEE of screened personnel and indoctrination records showing formal indoctrination for all relevant classified information types,"Maintain the records needed to support assessment, including the list of screened personnel, indoctrination documents, and the access-to-indoctrination mapping for the system.",Engineering Systems Team,2,No,"",2026-06-26 22:43
app-005,EEEEE,PS,PS-3(3),PS-3(3),Information Requiring Special Protective Measures,Enhancement,Document EEEEE’s process for verifying that every user with access to special-protection information has a valid access authorisation tied to assigned official government duties,"Set out the approval and evidence steps used before access is granted, including how the business confirms the duty requirement for each authorised user.",Engineering Systems Team,6,No,"",2026-06-26 22:43
app-005,EEEEE,PS,PS-3(3),PS-3(3),Information Requiring Special Protective Measures,Enhancement,Document EEEEE’s process for applying the additional personnel screening criteria required for Secret/Confidential access,"Reference the DoD position sensitivity, background screening, suitability, and periodic reinvestigation requirements that must be satisfied before access is approved.",Engineering Systems Team,6,No,"",2026-06-26 22:43
app-005,EEEEE,PS,PS-3(3),PS-3(3),Information Requiring Special Protective Measures,Enhancement,Record the current screened personnel and access authorisations for all EEEEE users who access special-protection information,"Maintain evidence showing who has been screened, what access they are authorised for, and the basis for that authorisation.",Engineering Systems Team,4,No,"",2026-06-26 22:43
