Asset Key,Asset Name,Family,Control ID,Control Label,Control Title,Type,Implementation Action,Action Detail,Responsible Area,Estimated Hours,Completed,Action Notes,Generated At
app-005,EEEEE,PM,PM-1,PM-1,Information Security Program Plan,Control,"Locate the enterprise information security programme plan and record the EEEEE-specific controls, roles, responsibilities, and inherited common controls that apply to the application",Capture only the application-relevant sections needed to show how EEEEE fits within the organisation-wide plan and which controls are inherited from enterprise services.,Engineering Systems Team,4,No,"",2026-06-26 22:35
app-005,EEEEE,PM,PM-1,PM-1,Information Security Program Plan,Control,"Document the EEEEE security programme plan appendix or section covering the application’s security requirements, management controls, and common controls in place or planned","Include the application’s implementation details, any parameter selections or references, and the roles and responsibilities assigned for EEEEE.",Engineering Systems Team,6,No,"",2026-06-26 22:35
app-005,EEEEE,PM,PM-1,PM-1,Information Security Program Plan,Control,Document the coordination points between the Engineering Systems Team and relevant enterprise entities for maintaining the EEEEE security programme plan,"Set out how EEEEE will coordinate with enterprise cyber security, risk/compliance, IT, and other relevant functions for plan development, review, update, and dissemination.",Engineering Systems Team,4,No,"",2026-06-26 22:35
app-005,EEEEE,PM,PM-1,PM-1,Information Security Program Plan,Control,Obtain approval of the EEEEE security programme plan from the senior official with accountability for the risk incurred by the application,Route the plan for formal approval and retain the approval record as evidence.,Enterprise Governance,2,No,"",2026-06-26 22:35
app-005,EEEEE,PM,PM-1,PM-1,Information Security Program Plan,Control,Store the EEEEE security programme plan and its review records in a controlled repository with access restricted against unauthorised disclosure and modification,Use the approved document management or records repository so only authorised personnel can view or amend the plan and its update history.,Engineering Systems Team,3,No,"",2026-06-26 22:35
app-005,EEEEE,PM,PM-1,PM-1,Information Security Program Plan,Control,Review and update the EEEEE security programme plan at least every 12 months and after applicable triggering events,"Update the plan following organisation-wide assessment or audit findings, security incidents or breaches, changes in laws or policy, major organisational or mission changes, and material changes to risk posture for Confidential or Classified data.",Engineering Systems Team,4,No,"",2026-06-26 22:35
app-005,EEEEE,PM,PM-2,PM-2,Information Security Program Leadership Role,Control,Identify the senior agency information security officer for EEEEE and record the appointment in the application compliance evidence set,Use the enterprise-appointed information security officer role that will coordinate the organisation-wide information security programme for this application.,Engineering Systems Team,2,No,"",2026-06-26 22:35
app-005,EEEEE,PM,PM-2,PM-2,Information Security Program Leadership Role,Control,"Document EEEEE’s information security programme plan ownership, development, implementation, review, update, and coordination responsibilities","Capture how the application team will align with the senior information security officer for programme plan development, implementation, reviews, updates, and coordination with relevant entities.",Engineering Systems Team,6,No,"",2026-06-26 22:35
app-005,EEEEE,PM,PM-2,PM-2,Information Security Program Leadership Role,Control,Confirm and record the mission and resources provided to the senior information security officer for EEEEE’s security programme activities,"Retain evidence showing the officer has the authority, time, and supporting resources needed to coordinate, develop, implement, and maintain the programme for EEEEE.",Engineering Systems Team,3,No,"",2026-06-26 22:35
app-005,EEEEE,PM,PM-2,PM-2,Information Security Program Leadership Role,Control,Maintain records showing coordination between EEEEE and the senior information security officer on programme plan development and implementation,"Keep meeting notes, approvals, or correspondence that demonstrate coordination with relevant organisational personnel responsible for information security programme planning and implementation.",Engineering Systems Team,2,No,"",2026-06-26 22:35
app-005,EEEEE,PM,PM-2,PM-2,Information Security Program Leadership Role,Control,Maintain records showing periodic review and update of EEEEE’s information security programme plan with the senior information security officer,"Retain review outputs, update decisions, and approvals that evidence the plan is reviewed and updated under the officer’s direction.",Engineering Systems Team,2,No,"",2026-06-26 22:35
app-005,EEEEE,PM,PM-3,PM-3,Information Security and Privacy Resources,Control,Locate the enterprise information security and privacy programme plan and confirm that EEEEE’s capital planning and investment activities are covered,"Identify the parts of the enterprise plan that require business-unit input, evidence, or adherence for EEEEE’s investment requests.",Engineering Systems Team,2,No,"",2026-06-26 22:35
app-005,EEEEE,PM,PM-3,PM-3,Information Security and Privacy Resources,Control,Document EEEEE’s procedure for preparing capital planning and investment requests that include information security and privacy requirements,"Cover business cases, Exhibit 300, and Exhibit 53 inputs, including the security and privacy information that must be included and the records that must be retained.",Engineering Systems Team,6,No,"",2026-06-26 22:35
app-005,EEEEE,PM,PM-3,PM-3,Information Security and Privacy Resources,Control,Ensure EEEEE’s capital planning and investment requests include the resources needed to implement information security and privacy requirements,"For each relevant business case or investment submission, capture the security and privacy resources required for EEEEE and link them to the request documentation.",Engineering Systems Team,4,No,"",2026-06-26 22:35
app-005,EEEEE,PM,PM-3,PM-3,Information Security and Privacy Resources,Control,Document any exceptions to capital planning requirements for EEEEE’s information security and privacy resources,"Record each exception with the justification, scope, and approval evidence alongside the relevant investment request or business case.",Engineering Systems Team,3,No,"",2026-06-26 22:35
app-005,EEEEE,PM,PM-3,PM-3,Information Security and Privacy Resources,Control,"Verify that EEEEE’s capital planning and investment documentation is prepared in accordance with applicable laws, executive orders, directives, policies, regulations, and standards","Check the business case, Exhibit 300, and Exhibit 53 materials against the applicable enterprise and external requirements before submission.",Engineering Systems Team,4,No,"",2026-06-26 22:35
app-005,EEEEE,PM,PM-3,PM-3,Information Security and Privacy Resources,Control,Confirm that EEEEE’s approved information security and privacy resources are available for expenditure as planned,Track the approved funding and planned spend for the application’s security and privacy items and record any variance requiring escalation.,Aircraft Business Services Department,2,No,"",2026-06-26 22:35
app-005,EEEEE,PM,PM-4,PM-4,Plan of Action and Milestones Process,Control,Locate the enterprise plan of action and milestones process and apply it to EEEEE,"Confirm the application team is using the approved enterprise process for developing, maintaining, reviewing, and reporting plans of action and milestones.",Engineering Systems Team,2,No,"",2026-06-26 22:35
app-005,EEEEE,PM,PM-4,PM-4,Plan of Action and Milestones Process,Control,Document EEEEE’s plan of action and milestones for identified information security remediation actions,"Record remedial actions, owners, target dates, and status for security risks affecting the application and its associated systems.",Engineering Systems Team,4,No,"",2026-06-26 22:35
app-005,EEEEE,PM,PM-4,PM-4,Plan of Action and Milestones Process,Control,Document EEEEE’s plan of action and milestones for identified privacy remediation actions,"If privacy-related findings exist for the application or associated systems, record the required remedial actions, owners, target dates, and status.",Engineering Systems Team,4,No,"",2026-06-26 22:35
app-005,EEEEE,PM,PM-4,PM-4,Plan of Action and Milestones Process,Control,Document EEEEE’s plan of action and milestones for identified supply chain remediation actions,"If supplier- or component-related findings exist for the application or associated systems, record the required remedial actions, owners, target dates, and status.",Engineering Systems Team,4,No,"",2026-06-26 22:35
app-005,EEEEE,PM,PM-4,PM-4,Plan of Action and Milestones Process,Control,Review EEEEE’s plan of action and milestones against the application risk management strategy and risk response priorities,Check that remediation items are consistent with organisational risk response priorities and the application’s risk treatment approach.,Engineering Systems Team,2,No,"",2026-06-26 22:35
app-005,EEEEE,PM,PM-4,PM-4,Plan of Action and Milestones Process,Control,Maintain EEEEE’s plan of action and milestones using control assessment and continuous monitoring findings,"Update the plan when new findings, progress updates, or closure evidence are received so the record remains current.",Engineering Systems Team,2,No,"",2026-06-26 22:35
app-005,EEEEE,PM,PM-4,PM-4,Plan of Action and Milestones Process,Control,Report EEEEE’s plan of action and milestones through the established enterprise reporting route,"Submit the application’s remediation status in the format and cadence required by the enterprise reporting process, including any required FISMA/OMB inputs.",Engineering Systems Team,2,No,"",2026-06-26 22:35
app-005,EEEEE,PM,PM-5,PM-5,System Inventory,Control,Locate the enterprise system inventory procedure and apply it to EEEEE,"Confirm the business-unit process for identifying, recording, and maintaining EEEEE within the organisation-wide system inventory.",Engineering Systems Team,2,No,"",2026-06-26 22:35
app-005,EEEEE,PM,PM-5,PM-5,System Inventory,Control,Record EEEEE in the organisation-wide system inventory with the required system details,"Ensure the entry reflects EEEEE as an organisational system, not a component inventory, and includes the information required by the enterprise inventory process and FISMA reporting guidance.",Engineering Systems Team,4,No,"",2026-06-26 22:35
app-005,EEEEE,PM,PM-5,PM-5,System Inventory,Control,Update the EEEEE system inventory entry quarterly,Refresh the inventory for EEEEE at the required quarterly frequency and capture the update evidence required by the enterprise process.,Engineering Systems Team,2,No,"",2026-06-26 22:35
app-005,EEEEE,PM,PM-5,PM-5,System Inventory,Control,Retain evidence supporting EEEEE system inventory development and maintenance,"Keep the inventory record, update logs, and any related reporting artefacts available for assessment and audit purposes.",Engineering Systems Team,1,No,"",2026-06-26 22:35
app-005,EEEEE,PM,PM-5(1),PM-5(1),Inventory of Personally Identifiable Information,Enhancement,"Identify all EEEEE system, application, and project instances that process personally identifiable information","Use the application’s data flows, interfaces, and project records to determine whether EEEEE processes personally identifiable information in any environment or lifecycle stage.",Engineering Systems Team,4,No,"",2026-06-26 22:35
app-005,EEEEE,PM,PM-5(1),PM-5(1),Inventory of Personally Identifiable Information,Enhancement,Document EEEEE in the personally identifiable information inventory and system inventory,"Record the application, its PII processing purpose, and the relevant data-processing scope in the maintained inventory set used by the business unit.",Engineering Systems Team,4,No,"",2026-06-26 22:35
app-005,EEEEE,PM,PM-5(1),PM-5(1),Inventory of Personally Identifiable Information,Enhancement,Define the procedure for maintaining and updating EEEEE’s inventory entry on a quarterly basis,"Set out how changes to the application, integrations, or projects are captured and reflected in the inventory at the required quarterly frequency.",Engineering Systems Team,4,No,"",2026-06-26 22:35
app-005,EEEEE,PM,PM-5(1),PM-5(1),Inventory of Personally Identifiable Information,Enhancement,Update EEEEE’s inventory entry quarterly and after material changes,"Refresh the recorded PII-processing details for the application every quarter and whenever the application, its data use, or related project scope changes.",Engineering Systems Team,2,No,"",2026-06-26 22:35
app-005,EEEEE,PM,PM-5(1),PM-5(1),Inventory of Personally Identifiable Information,Enhancement,Retain evidence supporting EEEEE’s PII inventory entries and updates,"Keep the source records used to establish and update the inventory, including data mapping documentation and change records, so the maintained inventory can be demonstrated during assessment.",Engineering Systems Team,2,No,"",2026-06-26 22:35
app-005,EEEEE,PM,PM-6,PM-6,Measures of Performance,Control,"Locate the Enterprise information security and privacy program plans, risk management strategy, and measures of performance procedure applicable to EEEEE and confirm the application’s compliance obligations","Identify the enterprise-approved documents that define how measures of performance are developed, monitored, and reported, and record the version in use for EEEEE.",Engineering Systems Team,2,No,"",2026-06-26 22:35
app-005,EEEEE,PM,PM-6,PM-6,Measures of Performance,Control,Define EEEEE information security measures of performance aligned to the enterprise risk management strategy and the application’s risk tolerance,Select outcome-based metrics that reflect the effectiveness or efficiency of the security controls used by EEEEE and map them to the relevant security programme objectives.,Engineering Systems Team,6,No,"",2026-06-26 22:35
app-005,EEEEE,PM,PM-6,PM-6,Measures of Performance,Control,Define EEEEE privacy measures of performance aligned to the enterprise risk management strategy and the application’s risk tolerance,Select outcome-based metrics that reflect the effectiveness or efficiency of privacy controls relevant to EEEEE and map them to the relevant privacy programme objectives.,Engineering Systems Team,6,No,"",2026-06-26 22:35
app-005,EEEEE,PM,PM-6,PM-6,Measures of Performance,Control,"Document the procedure for developing, monitoring, and reporting EEEEE information security and privacy measures of performance","Set out how the measures are calculated, who reviews them, how often they are monitored, and how results are escalated and reported.",Engineering Systems Team,6,No,"",2026-06-26 22:35
app-005,EEEEE,PM,PM-6,PM-6,Measures of Performance,Control,Monitor EEEEE information security measures of performance and retain the resulting records,Collect the agreed metrics at the defined interval and keep evidence of the monitoring outputs for assessment and reporting.,Engineering Systems Team,4,No,"",2026-06-26 22:35
