Asset Key,Asset Name,Family,Control ID,Control Label,Control Title,Type,Implementation Action,Action Detail,Responsible Area,Estimated Hours,Completed,Action Notes,Generated At
app-005,EEEEE,SR,SR-1,SR-1,Policy and Procedures,Control,Locate the organisation-level supply chain risk management policy and procedures and confirm EEEEE is operating in accordance with them,Use the enterprise-approved policy set as the governing source for the application. Record the applicable local obligations for EEEEE and any inherited controls it relies on.,Engineering Systems Team,2,No,"",2026-06-27 21:13
app-005,EEEEE,SR,SR-1,SR-1,Policy and Procedures,Control,Document EEEEE-specific supply chain risk management procedures that show how the organisation-level policy is implemented for the application,"Capture the application’s supply chain-related activities, roles, and interfaces with procurement, vendor management, security engineering, and system ownership in the system security plan or a separate procedure document.",Engineering Systems Team,6,No,"",2026-06-27 21:13
app-005,EEEEE,SR,SR-1,SR-1,Policy and Procedures,Control,"Assign the Supply Chain Risk Management Officer as the local owner for developing, documenting, and disseminating EEEEE supply chain risk management procedures",Record the named role responsible for coordinating the application’s procedure set and maintaining alignment with the enterprise policy.,Engineering Systems Team,1,No,"",2026-06-27 21:13
app-005,EEEEE,SR,SR-1,SR-1,Policy and Procedures,Control,"Disseminate the applicable EEEEE supply chain risk management procedures to procurement officers, vendor management, security engineering, and system owners",Ensure the identified roles receive the current procedure set and know where the authoritative version is maintained.,Engineering Systems Team,1,No,"",2026-06-27 21:13
app-005,EEEEE,SR,SR-1,SR-1,Policy and Procedures,Control,"Review and update the EEEEE supply chain risk management procedures within 30 days of a supply chain assessment or audit finding, security incident or breach, or relevant regulatory change",Apply the enterprise policy changes and any triggering events to the application procedure set and update the documented evidence accordingly.,Engineering Systems Team,2,No,"",2026-06-27 21:13
app-005,EEEEE,SR,SR-2,SR-2,Supply Chain Risk Management Plan,Control,"Locate the Enterprise supply chain risk management policy, procedures and plan requirements for EEEEE and confirm the application’s scope, roles and responsibilities are captured in the application compliance documentation",Record the application-specific supply chain risk management responsibilities for the Engineering Systems Team and the relevant supplier/acquisition touchpoints for EEEEE.,Engineering Systems Team,2,No,"",2026-06-27 21:13
app-005,EEEEE,SR,SR-2,SR-2,Supply Chain Risk Management Plan,Control,"Write an EEEEE supply chain risk management plan covering all research and development, design, manufacturing, acquisition, delivery, integration, operations and maintenance, and disposal-related components and services","Tailor the plan to EEEEE’s production environment and bespoke vendor context, and include the application’s supply chain risk tolerance, acceptable mitigation strategies, monitoring approach, implementation and communication approach, and justification for mitigation measures.",Engineering Systems Team,8,No,"",2026-06-27 21:13
app-005,EEEEE,SR,SR-2,SR-2,Supply Chain Risk Management Plan,Control,Document the supply chain threats and safeguards applicable to EEEEE and include them in the supply chain risk management plan,"Capture the relevant threats to the application and its suppliers, and the safeguards or controls to be applied across the full lifecycle covered by the control.",Engineering Systems Team,4,No,"",2026-06-27 21:13
app-005,EEEEE,SR,SR-2,SR-2,Supply Chain Risk Management Plan,Control,Protect the EEEEE supply chain risk management plan from unauthorised disclosure and unauthorised modification,Store the plan in the approved controlled repository and restrict access and edit rights to authorised personnel only.,Engineering Systems Team,2,No,"",2026-06-27 21:13
app-005,EEEEE,SR,SR-2,SR-2,Supply Chain Risk Management Plan,Control,Integrate the EEEEE supply chain risk management plan into the application security and privacy documentation set,"Ensure the plan is reflected in the system security plan, privacy plan and any acquisition or lifecycle documentation used for EEEEE.",Engineering Systems Team,4,No,"",2026-06-27 21:13
app-005,EEEEE,SR,SR-2,SR-2,Supply Chain Risk Management Plan,Control,"Review and update the EEEEE supply chain risk management plan at least annually and within 30 days of major threat, organisational or environmental changes","Use the application’s change, supplier and risk records to trigger updates and keep the plan aligned to current conditions.",Engineering Systems Team,2,No,"",2026-06-27 21:13
app-005,EEEEE,SR,SR-2(1),SR-2(1),Establish SCRM Team,Enhancement,"Locate Enterprise supply chain risk management policy, procedures, team charter, strategy and implementation plan for EEEEE and confirm the application team’s obligations",Identify the enterprise-issued SCRM artefacts that apply to EEEEE and record the specific responsibilities for the application team.,Engineering Systems Team,2,No,"",2026-06-27 21:13
app-005,EEEEE,SR,SR-2(1),SR-2(1),Establish SCRM Team,Enhancement,Assign EEEEE SCRM responsibilities to the required roles for the application team,"Nominate the application-side representatives for risk executive, CISO/security, contracting, supply chain/logistics, IT, privacy, legal, business continuity and acquisition liaison functions as applicable to EEEEE.",Engineering Systems Team,4,No,"",2026-06-27 21:13
app-005,EEEEE,SR,SR-2(1),SR-2(1),Establish SCRM Team,Enhancement,Document EEEEE supply chain risk management team charter and operating procedure,"Capture the team’s purpose, membership, roles, responsibilities, decision-making and how it supports identifying, assessing, prioritising and mitigating supplier risks, monitoring supplier performance, managing SDLC and third-party dependencies, and communicating with stakeholders.",Engineering Systems Team,6,No,"",2026-06-27 21:13
