Asset Key,Asset Name,Family,Control ID,Control Label,Control Title,Type,Implementation Action,Action Detail,Responsible Area,Estimated Hours,Completed,Action Notes,Generated At
app-005,EEEEE,SC,SC-1,SC-1,Policy and Procedures,Control,Locate the enterprise system and communications protection policy and procedures for EEEEE and confirm they apply to the application,Use the organisation-level policy set as the governing source for the application; do not create a separate application policy unless one is explicitly required.,Engineering Systems Team,2,No,"",2026-06-27 20:13
app-005,EEEEE,SC,SC-1,SC-1,Policy and Procedures,Control,Document EEEEE’s system and communications protection procedures in the system security plan or a separate procedure document,"Capture how the enterprise policy is implemented for the application, including the relevant system and communications protection controls in scope.",Engineering Systems Team,6,No,"",2026-06-27 20:13
app-005,EEEEE,SC,SC-1,SC-1,Policy and Procedures,Control,"Assign the CISO as the official responsible for development, documentation, and dissemination of the system and communications protection policy and procedures","Record the CISO as the designated official in the application security documentation or governance record, aligned to the organisation-level policy arrangement.",Enterprise Cyber Security,1,No,"",2026-06-27 20:13
app-005,EEEEE,SC,SC-1,SC-1,Policy and Procedures,Control,Disseminate the applicable system and communications protection policy to all personnel with system and communications protection responsibilities for EEEEE,"Provide the policy to ISSOs, system owners, and other relevant personnel who support the application and retain evidence of dissemination.",Engineering Systems Team,2,No,"",2026-06-27 20:13
app-005,EEEEE,SC,SC-1,SC-1,Policy and Procedures,Control,"Disseminate the documented system and communications protection procedures to security and privacy programme staff, ISSOs, system owners, and relevant IT operations personnel supporting EEEEE",Ensure the procedure set is available to the roles named in the control and keep a record of distribution or acknowledgement.,Engineering Systems Team,2,No,"",2026-06-27 20:13
app-005,EEEEE,SC,SC-1,SC-1,Policy and Procedures,Control,Review EEEEE’s system and communications protection procedures annually and update them when required,Perform the annual review required by the control and refresh the documented procedures if they no longer reflect current implementation.,Engineering Systems Team,3,No,"",2026-06-27 20:13
app-005,EEEEE,SC,SC-1,SC-1,Policy and Procedures,Control,"Update EEEEE’s system and communications protection procedures following a material security incident or breach, audit or assessment finding, change in roles or responsibilities, change in system configuration, change in logging or monitoring tooling, or change in regulatory or contractual obligations",Trigger a documented review and revise the procedures whenever one of the specified events occurs.,Engineering Systems Team,4,No,"",2026-06-27 20:13
app-005,EEEEE,SC,SC-1,SC-1,Policy and Procedures,Control,Review EEEEE’s system and communications protection policy annually and update it when required,Perform the annual policy review required by the control and confirm the policy remains current and approved for use.,Enterprise Cyber Security,3,No,"",2026-06-27 20:13
app-005,EEEEE,SC,SC-1,SC-1,Policy and Procedures,Control,"Update EEEEE’s system and communications protection policy following a material security incident or breach, audit or assessment finding, change in applicable laws or directives, major system or OT architecture change, or new regulatory requirement",Trigger a documented policy review and revise the policy whenever one of the specified events occurs.,Enterprise Cyber Security,4,No,"",2026-06-27 20:13
app-005,EEEEE,SC,SC-2,SC-2,Separation of System and User Functionality,Control,Document how EEEEE separates user interface services from system management functions in its system design documentation,"Describe the logical or physical separation used for production user access versus administrative access, including any separate domains, instances, addresses, or authentication paths used by the application.",Engineering Systems Team,4,No,"",2026-06-27 20:13
