Asset Key,Asset Name,Family,Control ID,Control Label,Control Title,Type,Implementation Action,Action Detail,Responsible Area,Estimated Hours,Completed,Action Notes,Generated At
app-005,EEEEE,MP,MP-1,MP-1,Policy and Procedures,Control,Locate the enterprise media protection policy and procedures for EEEEE and confirm they are applicable to the application’s production environment,Use the organisation-level policy and procedures as the authoritative basis for the application’s media protection approach.,Engineering Systems Team,1,No,"",2026-06-25 22:13
app-005,EEEEE,MP,MP-1,MP-1,Policy and Procedures,Control,Document EEEEE-specific media protection procedures that implement the enterprise media protection policy for production media handling,Cover the application’s media handling activities and how the enterprise policy is applied within the system boundary.,Engineering Systems Team,4,No,"",2026-06-25 22:13
app-005,EEEEE,MP,MP-1,MP-1,Policy and Procedures,Control,Record EEEEE media protection responsibilities and dissemination recipients in the system security documentation,"Identify the roles that must follow the procedures, including Security and Privacy leadership, Information System Owners, Media Custodians, and IT Operations staff.",Engineering Systems Team,2,No,"",2026-06-25 22:13
app-005,EEEEE,MP,MP-1,MP-1,Policy and Procedures,Control,"Review the EEEEE media protection policy and procedures against applicable legal, regulatory, and organisational requirements and update them where needed","Check alignment with relevant laws, directives, regulations, policies, standards, and guidelines before use in production.",Engineering Systems Team,3,No,"",2026-06-25 22:13
app-005,EEEEE,MP,MP-1,MP-1,Policy and Procedures,Control,"Assign the CISO as the designated official for development, documentation, and dissemination of the media protection policy and procedures",Record the CISO as the accountable enterprise official in the application compliance records.,Enterprise Cyber Security,1,No,"",2026-06-25 22:13
app-005,EEEEE,MP,MP-1,MP-1,Policy and Procedures,Control,"Disseminate the EEEEE media protection procedures to all personnel with media access, including Media Custodians and IT Operations staff",Ensure the identified roles receive the current procedures and understand their responsibilities for production media handling.,Engineering Systems Team,1,No,"",2026-06-25 22:13
app-005,EEEEE,MP,MP-1,MP-1,Policy and Procedures,Control,Review and update the EEEEE media protection policy and procedures annually and after any triggering event,"Apply the required review cycle after audit findings, security incidents or breaches, or changes to applicable requirements.",Engineering Systems Team,2,No,"",2026-06-25 22:13
app-005,EEEEE,MP,MP-2,MP-2,Media Access,Control,Identify the digital and non-digital system media within EEEEE that contain Confidential or Secret information,"Include flash drives, external or removable hard disk drives, magnetic tapes, optical media, paper records, and microfilm used by the application or its support processes.",Engineering Systems Team,4,No,"",2026-06-25 22:13
app-005,EEEEE,MP,MP-2,MP-2,Media Access,Control,Document the procedures for restricting access to EEEEE media to the system development team and authorised system administrators,"Set out who may access each media type, how access is approved, and how exceptions are handled in line with the control requirement.",Engineering Systems Team,6,No,"",2026-06-25 22:13
app-005,EEEEE,MP,MP-2,MP-2,Media Access,Control,"Implement the agreed media access restrictions for EEEEE through existing application, storage, and physical access arrangements",Apply the documented restrictions so that only the system development team and authorised system administrators can access the identified media.,Engineering Systems Team,8,No,"",2026-06-25 22:13
app-005,EEEEE,MP,MP-2,MP-2,Media Access,Control,Record evidence of media access restrictions for EEEEE in the relevant access control and system security documentation,"Retain the procedures, access control records, and any supporting system security plan references needed to demonstrate that access is restricted as required.",Engineering Systems Team,3,No,"",2026-06-25 22:13
app-005,EEEEE,MP,MP-3,MP-3,Media Marking,Control,Locate the enterprise system media protection policy and document EEEEE-specific compliance obligations for media marking,"Capture the applicable marking rules, handling caveats, and any exemptions for system media that remains within accredited on-prem data centre rooms, secure server rooms, and controlled lab areas.",Engineering Systems Team,2,No,"",2026-06-25 22:14
app-005,EEEEE,MP,MP-3,MP-3,Media Marking,Control,"Document EEEEE procedures for marking system media with distribution limitations, handling caveats, and applicable security markings","Cover both digital and non-digital media used by EEEEE, including how markings are applied and when markings are not required for exempt media.",Engineering Systems Team,4,No,"",2026-06-25 22:14
app-005,EEEEE,MP,MP-3,MP-3,Media Marking,Control,Maintain a list of the security attributes used to mark EEEEE system media,Record the approved media marking attributes and the corresponding handling or distribution limitations they indicate.,Engineering Systems Team,2,No,"",2026-06-25 22:14
app-005,EEEEE,MP,MP-3,MP-3,Media Marking,Control,Update the EEEEE system security plan to describe media marking responsibilities and processes,"Include the personnel responsible for media marking, the organisational process used to apply markings, and the controlled areas in which exempt media may remain.",Engineering Systems Team,4,No,"",2026-06-25 22:14
app-005,EEEEE,MP,MP-3,MP-3,Media Marking,Control,Implement the agreed media marking process for EEEEE system media,Ensure media is marked before removal from controlled areas and that any media remaining within the accredited enclave is handled in line with the documented exemption.,Engineering Systems Team,4,No,"",2026-06-25 22:14
app-005,EEEEE,MP,MP-3,MP-3,Media Marking,Control,Verify that EEEEE media marking records and supporting documents demonstrate compliance with the control,"Check that the procedures, security attributes, system security plan, and any relevant records show media is marked to indicate applicable security markings and handling caveats.",Engineering Systems Team,2,No,"",2026-06-25 22:14
app-005,EEEEE,MP,MP-4,MP-4,Media Storage,Control,Document EEEEE’s media storage procedure for removable digital media and paper or microfilm records,"State how the application team stores, checks out, returns, tracks, and accounts for any system media associated with EEEEE, aligned to the enterprise media protection requirements and the defined controlled media library areas.",Engineering Systems Team,6,No,"",2026-06-25 22:14
app-005,EEEEE,MP,MP-4,MP-4,Media Storage,Control,Identify and record the system media types used or held for EEEEE and map each type to the required controlled storage location,"Cover removable SSD/HDD, USB flash drives, SD cards, magnetic tapes, optical media, paper records, and microfilm, and specify whether each is stored in the CML vault or CML document room as defined for the asset’s media classification.",Engineering Systems Team,4,No,"",2026-06-25 22:14
app-005,EEEEE,MP,MP-4,MP-4,Media Storage,Control,"Ensure EEEEE media is physically controlled through a check-out, return, and inventory process",Maintain accountability for all stored media by using a controlled inventory and sign-out/sign-in process for any media retained by the application team.,Engineering Systems Team,4,No,"",2026-06-25 22:14
app-005,EEEEE,MP,MP-4,MP-4,Media Storage,Control,Store EEEEE media only within the designated controlled media library areas,"Keep digital media in the CML vault and non-digital media in the CML document room, using the required badge-controlled and locked storage arrangements for the asset’s media classification.",Engineering Systems Team,2,No,"",2026-06-25 22:14
app-005,EEEEE,MP,MP-4,MP-4,Media Storage,Control,"Verify that EEEEE media remains protected until destroyed or sanitised using approved equipment, techniques, and procedures",Confirm that the team’s handling process only releases media after approved destruction or sanitisation has been completed and recorded.,Engineering Systems Team,3,No,"",2026-06-25 22:14
app-005,EEEEE,MP,MP-4(2),MP-4(2),Automated Restricted Access,Enhancement,Locate the Enterprise system media protection policy and procedures for EEEEE and confirm the application’s media storage arrangements comply with them,"Map the application’s media storage areas and handling arrangements to the inherited enterprise policy, procedures, and system security plan requirements.",Engineering Systems Team,2,No,"",2026-06-25 22:14
app-005,EEEEE,MP,MP-4(2),MP-4(2),Automated Restricted Access,Enhancement,Document EEEEE media storage areas and the authorised access control devices used at each external entry,Record the physical media storage locations supporting EEEEE and specify the keypad and card reader controls used to restrict entry.,Engineering Systems Team,4,No,"",2026-06-25 22:14
app-005,EEEEE,MP,MP-4(2),MP-4(2),Automated Restricted Access,Enhancement,Configure the keypad and card reader access control lists for EEEEE media storage area entries to restrict access to authorised personnel only,Apply the approved access list to the external entries for the media storage areas used by EEEEE.,Engineering Systems Team,6,No,"",2026-06-25 22:14
app-005,EEEEE,MP,MP-4(2),MP-4(2),Automated Restricted Access,Enhancement,Configure access control system logging for EEEEE to record access attempts to media storage areas,Ensure failed and attempted entries via the keypad and card reader are captured in the access control system logs.,Engineering Systems Team,4,No,"",2026-06-25 22:14
