Asset Key,Asset Name,Family,Control ID,Control Label,Control Title,Type,Implementation Action,Action Detail,Responsible Area,Estimated Hours,Completed,Action Notes,Generated At
app-005,EEEEE,SI,SI-1,SI-1,Policy and Procedures,Control,Locate the enterprise system and information integrity policy and procedures for EEEEE and confirm they are applicable to the application,Use the organisation-level policy as the governing document for EEEEE and verify the current version is available to the Engineering Systems Team.,Engineering Systems Team,1,No,"",2026-06-27 21:03
app-005,EEEEE,SI,SI-1,SI-1,Policy and Procedures,Control,Document EEEEE system and information integrity procedures that implement the enterprise policy within the application boundary,"Capture the application-specific steps, roles, and records needed to apply the policy to EEEEE, including how the relevant controls are carried out in practice.",Engineering Systems Team,6,No,"",2026-06-27 21:03
app-005,EEEEE,SI,SI-1,SI-1,Policy and Procedures,Control,Update the EEEEE system security plan and any related privacy plan to reference the system and information integrity policy and procedures,"Record the policy, the implementing procedures, and the application scope in the relevant system documentation so the control is evidenced for EEEEE.",Engineering Systems Team,4,No,"",2026-06-27 21:03
app-005,EEEEE,SI,SI-1,SI-1,Policy and Procedures,Control,"Confirm the CISO is designated as the official responsible for development, documentation, and dissemination of the system and information integrity policy and procedures",Retain evidence in the EEEEE compliance records that the enterprise-designated official is identified and that the application is aligned to that governance arrangement.,Enterprise Cyber Security,1,No,"",2026-06-27 21:03
app-005,EEEEE,SI,SI-1,SI-1,Policy and Procedures,Control,"Disseminate the EEEEE system and information integrity procedures to system owners, OT/ICS engineers, privacy officers, and all personnel with security responsibilities",Issue the procedures to the roles identified in the control and retain acknowledgement or distribution records for EEEEE.,Engineering Systems Team,2,No,"",2026-06-27 21:03
app-005,EEEEE,SI,SI-1,SI-1,Policy and Procedures,Control,Record the annual and event-driven review points for the EEEEE system and information integrity policy and procedures,"Set the review triggers required by the control: annually and after security incidents or breaches, audit findings, major system changes, or changes to applicable laws and directives.",Engineering Systems Team,1,No,"",2026-06-27 21:03
app-005,EEEEE,SI,SI-2,SI-2,Flaw Remediation,Control,"Locate Enterprise system and information integrity policy and flaw remediation procedures for EEEEE and confirm the application team’s obligations for patching, testing, reporting, and recordkeeping","Use the enterprise-issued policy and procedures as the governing basis for EEEEE’s flaw remediation activities, including the 14-day update requirement.",Engineering Systems Team,2,No,"",2026-06-27 21:03
app-005,EEEEE,SI,SI-2,SI-2,Flaw Remediation,Control,"Document EEEEE’s flaw remediation procedure covering identification, reporting, testing, installation, and correction of software and firmware flaws","Include how flaws discovered through assessments, continuous monitoring, incident response, and error handling are captured and routed to personnel with security and privacy responsibilities.",Engineering Systems Team,6,No,"",2026-06-27 21:03
app-005,EEEEE,SI,SI-2,SI-2,Flaw Remediation,Control,Document EEEEE’s configuration management procedure to include flaw remediation change control and verification,"Show how security-relevant updates are tracked, approved, installed, and evidenced through configuration management records.",Engineering Systems Team,4,No,"",2026-06-27 21:03
app-005,EEEEE,SI,SI-2,SI-2,Flaw Remediation,Control,Maintain a current list of flaws and vulnerabilities affecting EEEEE and report them to the relevant security and privacy personnel,"Keep the list aligned to the application’s current version, vendor notices, scan results, and internal findings.",Engineering Systems Team,3,No,"",2026-06-27 21:03
