Asset Key,Asset Name,Family,Control ID,Control Label,Control Title,Type,Implementation Action,Action Detail,Responsible Area,Estimated Hours,Completed,Action Notes,Generated At
app-005,EEEEE,PE,PE-1,PE-1,Policy and Procedures,Control,Locate the enterprise physical and environmental protection policy and procedures for EEEEE and confirm they are applicable to the application’s production environment,Use the organisation-level policy and procedures as the governing documents for the application; do not create a separate application-specific policy unless one is explicitly required.,Engineering Systems Team,2,No,"",2026-06-26 22:17
app-005,EEEEE,PE,PE-1,PE-1,Policy and Procedures,Control,Document how EEEEE complies with the enterprise physical and environmental protection procedures within the system security plan,"Capture the application-specific responsibilities, dependencies on inherited physical security controls, and any local procedures needed to implement the enterprise policy.",Engineering Systems Team,4,No,"",2026-06-26 22:17
app-005,EEEEE,PE,PE-1,PE-1,Policy and Procedures,Control,Record the roles responsible for physical and environmental protection activities for EEEEE and the named dissemination audience,"Identify the application-side roles that must follow or support the procedures, and note the enterprise roles that receive the policy and procedures.",Engineering Systems Team,2,No,"",2026-06-26 22:17
app-005,EEEEE,PE,PE-1,PE-1,Policy and Procedures,Control,Review the application security documentation for EEEEE annually and after relevant trigger events to confirm the physical and environmental protection policy and procedures remain current,"Use the control’s trigger events, including security incidents, audit findings, material risk assessment changes, major facility changes, and regulatory or policy updates.",Engineering Systems Team,3,No,"",2026-06-26 22:17
app-005,EEEEE,PE,PE-1,PE-1,Policy and Procedures,Control,Update the EEEEE system security plan and related compliance records when the enterprise physical and environmental protection policy or procedures change,Ensure the application documentation reflects the latest enterprise-issued policy and any local implementation changes needed for the production environment.,Engineering Systems Team,3,No,"",2026-06-26 22:17
app-005,EEEEE,PE,PE-2,PE-2,Physical Access Authorizations,Control,Document EEEEE’s physical access authorisation procedure for the facility where the application resides,"Cover how authorised personnel and visitors are granted, recorded, approved, reviewed, and removed from facility access in line with the enterprise physical security arrangements.",Engineering Systems Team,6,No,"",2026-06-26 22:17
app-005,EEEEE,PE,PE-2,PE-2,Physical Access Authorizations,Control,Maintain an authorised personnel access list for the facility where EEEEE resides,"Keep a current list of individuals with authorised physical access to the facility, excluding visitors and publicly accessible areas.",Engineering Systems Team,4,No,"",2026-06-26 22:17
app-005,EEEEE,PE,PE-2,PE-2,Physical Access Authorizations,Control,Record the physical authorization credentials used for facility access to EEEEE’s location,"Document the credential types in use, such as ID badges, identification cards, or smart cards, and reference the enterprise-issued mechanism used for access.",Engineering Systems Team,2,No,"",2026-06-26 22:17
app-005,EEEEE,PE,PE-2,PE-2,Physical Access Authorizations,Control,Approve the authorised personnel access list for the facility where EEEEE resides,Obtain formal approval for the access list from the appropriate authorised approver before use.,Engineering Systems Team,2,No,"",2026-06-26 22:17
app-005,EEEEE,PE,PE-2,PE-2,Physical Access Authorizations,Control,Review the authorised personnel access list for the facility where EEEEE resides every 90 days,Perform the periodic review required by the control and confirm the list remains accurate and current.,Engineering Systems Team,2,No,"",2026-06-26 22:17
app-005,EEEEE,PE,PE-2,PE-2,Physical Access Authorizations,Control,Remove individuals from the facility access list when access to EEEEE is no longer required,"Update the list promptly when personnel change role, leave, or no longer need physical access, and retain the associated termination documentation.",Engineering Systems Team,2,No,"",2026-06-26 22:17
app-005,EEEEE,PE,PE-2,PE-2,Physical Access Authorizations,Control,Retain physical access termination records and associated documentation for EEEEE’s facility access,Keep evidence of removals from the access list and any supporting approval or termination records as compliance evidence.,Engineering Systems Team,2,No,"",2026-06-26 22:17
app-005,EEEEE,PE,PE-2,PE-2,Physical Access Authorizations,Control,Update EEEEE’s system security plan with the physical access authorisation arrangements,"Record the facility access process, authorised access list, review frequency, credential types, and removal process in the SSP or linked security documentation.",Engineering Systems Team,3,No,"",2026-06-26 22:17
app-005,EEEEE,PE,PE-2(1),PE-2(1),Access by Position or Role,Enhancement,Document the positions and roles authorised for physical access to EEEEE’s facility,"List the role-based access categories that apply to the system location, including authorised permanent and regular maintenance personnel, duty officers, and emergency medical staff where relevant.",Engineering Systems Team,4,No,"",2026-06-26 22:17
app-005,EEEEE,PE,PE-2(1),PE-2(1),Access by Position or Role,Enhancement,Update EEEEE’s system security plan to state that facility access is authorised by position or role,Record the physical access authorisation approach for the facility where EEEEE resides and reference the approved role-to-access mapping.,Engineering Systems Team,3,No,"",2026-06-26 22:17
app-005,EEEEE,PE,PE-2(1),PE-2(1),Access by Position or Role,Enhancement,"Define the procedure for approving, changing, and removing physical access to EEEEE’s facility based on role",Set out how access requests are validated against position or role and how changes in role trigger access updates or removal.,Engineering Systems Team,4,No,"",2026-06-26 22:17
app-005,EEEEE,PE,PE-2(1),PE-2(1),Access by Position or Role,Enhancement,Maintain physical access authorisation records and entry/exit logs for EEEEE’s facility,Keep records showing who is authorised to enter the facility and retain the relevant physical access logs or equivalent evidence of access control.,Engineering Systems Team,2,No,"",2026-06-26 22:17
app-005,EEEEE,PE,PE-2(1),PE-2(1),Access by Position or Role,Enhancement,Verify that EEEEE’s facility access arrangements are implemented through the enterprise physical security controls,Confirm the facility’s access control mechanism enforces the approved role-based authorisations and that the documented roles match the actual access granted.,Enterprise Facilities & Physical Security,2,No,"",2026-06-26 22:17
app-005,EEEEE,PE,PE-2(2),PE-2(2),Two Forms of Identification,Enhancement,Locate the enterprise physical and environmental protection policy and document how EEEEE complies with the visitor identification requirement,"Capture the business-unit procedure for visitor access to the facility where EEEEE resides, including the requirement for two forms of identification from the approved list.",Engineering Systems Team,2,No,"",2026-06-26 22:17
app-005,EEEEE,PE,PE-2(2),PE-2(2),Two Forms of Identification,Enhancement,Document the visitor access procedure for EEEEE to require two forms of identification from the approved list before facility entry,"Include the acceptable identification forms for visitors: passport, REAL ID-compliant driver’s licence, and PIV card, and state that two are required for access.",Engineering Systems Team,4,No,"",2026-06-26 22:17
app-005,EEEEE,PE,PE-2(2),PE-2(2),Two Forms of Identification,Enhancement,Update EEEEE access authorisation records and visitor access forms to record both identification checks for each visitor,Ensure the forms or records capture the two identification types presented and the authorising decision for access to the facility.,Engineering Systems Team,3,No,"",2026-06-26 22:17
app-005,EEEEE,PE,PE-2(2),PE-2(2),Two Forms of Identification,Enhancement,Ensure EEEEE physical access control logs record visitor identity verification against the two-form requirement,Confirm the log or record set used for the facility includes evidence that two acceptable forms of identification were checked before access was granted.,Engineering Systems Team,2,No,"",2026-06-26 22:17
