Asset Key,Asset Name,Family,Control ID,Control Label,Control Title,Type,Implementation Action,Action Detail,Responsible Area,Estimated Hours,Completed,Action Notes,Generated At
app-005,EEEEE,CM,CM-1,CM-1,Policy and Procedures,Control,Locate the enterprise configuration management policy and procedures for EEEEE and confirm the application team’s obligations under them,"Use the organisation-level policy and procedures as the governing artefacts for the application. Confirm the scope, roles, responsibilities, dissemination list, and compliance expectations that apply to EEEEE.",Engineering Systems Team,2,No,"",2026-06-25 20:56
app-005,EEEEE,CM,CM-1,CM-1,Policy and Procedures,Control,Document EEEEE’s application-specific configuration management procedures for implementing the enterprise policy,"Capture how configuration changes, approvals, baselines, and controlled updates are handled for EEEEE within the application team’s remit. Ensure the procedures support the enterprise policy and the application’s operating context.",Engineering Systems Team,6,No,"",2026-06-25 20:56
app-005,EEEEE,CM,CM-1,CM-1,Policy and Procedures,Control,"Record EEEEE’s configuration management responsibilities, roles, and coordination points in the system security documentation","Update the relevant system security plan or equivalent application documentation to show who manages configuration management activities, how the team coordinates with security and privacy leads, and how compliance is demonstrated for EEEEE.",Engineering Systems Team,4,No,"",2026-06-25 20:56
app-005,EEEEE,CM,CM-1,CM-1,Policy and Procedures,Control,"Disseminate the configuration management procedures for EEEEE to the configuration management team, change managers, system administrators, OT engineering leads, and security and privacy programme leads",Ensure the relevant personnel and roles receive the procedures and understand their responsibilities for EEEEE.,Engineering Systems Team,2,No,"",2026-06-25 20:56
app-005,EEEEE,CM,CM-1,CM-1,Policy and Procedures,Control,"Review EEEEE’s configuration management procedures after audit findings, security incidents, or material architecture changes and update them where required",Apply the organisation’s required review triggers to the application’s procedures and revise the documented process when those events occur.,Engineering Systems Team,3,No,"",2026-06-25 20:56
app-005,EEEEE,CM,CM-2,CM-2,Baseline Configuration,Control,"Document a current baseline configuration for EEEEE covering connectivity, operational, communications, security and privacy control implementations, system components, network topology, and logical component placement","Capture the approved production configuration as the reference point for future builds, releases, and changes, and align it to the current enterprise architecture and system configuration documentation.",Engineering Systems Team,8,No,"",2026-06-25 20:56
app-005,EEEEE,CM,CM-2,CM-2,Baseline Configuration,Control,"Record EEEEE baseline configuration details in the system security plan, privacy plan, system architecture documentation, and configuration management plan",Ensure the documented baseline is reflected consistently across the application’s authoritative compliance and design records.,Engineering Systems Team,6,No,"",2026-06-25 20:56
app-005,EEEEE,CM,CM-2,CM-2,Baseline Configuration,Control,Establish a baseline configuration review and update procedure for EEEEE that requires quarterly review and update after material changes or major incidents,Use the enterprise configuration management policy as the governing reference and define the business-unit process for scheduled and event-driven baseline updates.,Engineering Systems Team,4,No,"",2026-06-25 20:56
app-005,EEEEE,CM,CM-2,CM-2,Baseline Configuration,Control,Maintain EEEEE baseline configuration under configuration control using change control records and approved configuration settings,Ensure changes to the baseline are only made through the agreed change process and that the current approved baseline remains identifiable at all times.,Engineering Systems Team,6,No,"",2026-06-25 20:56
app-005,EEEEE,CM,CM-2,CM-2,Baseline Configuration,Control,Update the EEEEE baseline configuration when system components are installed or upgraded,"Reflect any new or changed components in the baseline configuration, component inventory, and associated configuration documentation before the change is accepted into production.",Engineering Systems Team,4,No,"",2026-06-25 20:56
app-005,EEEEE,CM,CM-2,CM-2,Baseline Configuration,Control,"Review and update the EEEEE baseline configuration after material changes to system architecture, security control implementations, network connectivity, or communications interfaces, and after any major incident affecting configuration",Confirm the baseline remains aligned to the implemented production state whenever these triggering events occur.,Engineering Systems Team,4,No,"",2026-06-25 20:56
app-005,EEEEE,CM,CM-2,CM-2,Baseline Configuration,Control,"Verify that EEEEE baseline configuration records are current, formally agreed, and traceable to the approved system architecture and component inventory",Check that the documented baseline matches the live production configuration and that supporting records are complete for assessment evidence.,Engineering Systems Team,3,No,"",2026-06-25 20:56
app-005,EEEEE,CM,CM-2(2),CM-2(2),Automation Support for Accuracy and Currency,Enhancement,Locate Enterprise configuration management policy and procedures for baseline configuration maintenance and apply them to EEEEE,"Confirm the business application follows the enterprise-approved approach for maintaining baseline configuration currency, completeness, accuracy, and availability.",Engineering Systems Team,2,No,"",2026-06-25 20:56
app-005,EEEEE,CM,CM-2(2),CM-2(2),Automation Support for Accuracy and Currency,Enhancement,Document EEEEE baseline configuration and supporting configuration settings,"Record the approved baseline for the production application, including relevant system configuration settings and associated documentation needed to evidence the baseline.",Engineering Systems Team,6,No,"",2026-06-25 20:56
app-005,EEEEE,CM,CM-2(2),CM-2(2),Automation Support for Accuracy and Currency,Enhancement,"Maintain an inventory of EEEEE operating system, application, firmware, and patch levels using automated configuration management tooling",Use the approved tooling to track current versions and patch levels for the application’s supporting components and keep the inventory aligned to the live environment.,Engineering Systems Team,8,No,"",2026-06-25 20:56
