Asset Key,Asset Name,Family,Control ID,Control Label,Control Title,Type,Implementation Action,Action Detail,Responsible Area,Estimated Hours,Completed,Action Notes,Generated At
app-005,EEEEE,AU,AU-1,AU-1,Policy and Procedures,Control,Confirm EEEEE’s System Security Plan references the organisation-level audit and accountability policy and procedures,Record the applicable enterprise policy suite and the local documents that implement it for this application.,Engineering Systems Team,2,No,"",2026-06-25 20:32
app-005,EEEEE,AU,AU-1,AU-1,Policy and Procedures,Control,Document EEEEE-specific audit and accountability procedures in the System Security Plan or a controlled procedure document,Cover how the application follows the organisation-level policy for audit and accountability controls within EEEEE.,Engineering Systems Team,4,No,"",2026-06-25 20:32
app-005,EEEEE,AU,AU-1,AU-1,Policy and Procedures,Control,Assign the CISO and the Audit and Accountability Policy Working Group to manage EEEEE’s audit and accountability procedure documentation and dissemination,Record the accountable owners for maintaining and distributing the application’s supporting procedures.,Enterprise Cyber Security,1,No,"",2026-06-25 20:32
app-005,EEEEE,AU,AU-1,AU-1,Policy and Procedures,Control,Set EEEEE’s quarterly review process for audit and accountability procedures,Define the review cadence and the local owner for updating the application’s procedures on the required quarterly basis.,Engineering Systems Team,2,No,"",2026-06-25 20:32
app-005,EEEEE,AU,AU-1,AU-1,Policy and Procedures,Control,Set EEEEE’s event-driven update triggers for audit and accountability procedures,"Document the required update triggers for security incidents, audit findings, major system changes, and changes to applicable laws or directives.",Engineering Systems Team,2,No,"",2026-06-25 20:32
app-005,EEEEE,AU,AU-1,AU-1,Policy and Procedures,Control,"Disseminate EEEEE’s audit and accountability procedures to system owners, SOC analysts, and internal audit personnel",Ensure the relevant roles identified for procedure recipients have access to the current controlled version.,Engineering Systems Team,1,No,"",2026-06-25 20:32
app-005,EEEEE,AU,AU-2,AU-2,Event Logging,Control,Locate the enterprise AU-2 event logging standard and record the approved event-type subset for EEEEE in the application security documentation,Capture the organisation-defined event types and the required logging frequency/situation for this production application.,Engineering Systems Team,2,No,"",2026-06-25 20:32
app-005,EEEEE,AU,AU-2,AU-2,Event Logging,Control,Configure EEEEE to log the approved event types on occurrence in production,"Enable logging for successful and failed logons, privilege escalation, administrative account use, PIV credential use, security-relevant configuration changes, access to classified/controlled data, data export/download, audit log tampering, and authentication token use.",Engineering Systems Team,12,No,"",2026-06-25 20:32
app-005,EEEEE,AU,AU-2,AU-2,Event Logging,Control,Implement the required high-volume logging behaviour in EEEEE for incident response and normal operations,"Ensure the application logs each selected high-volume event on every occurrence during 24x7 incident response and monthly otherwise, as defined by the organisation.",Engineering Systems Team,8,No,"",2026-06-25 20:32
app-005,EEEEE,AU,AU-2,AU-2,Event Logging,Control,Document the rationale for the selected EEEEE event types in the system security documentation,State why the logged event types are adequate to support after-the-fact investigations of incidents.,Engineering Systems Team,2,No,"",2026-06-25 20:32
