Asset Key,Asset Name,Family,Control ID,Control Label,Control Title,Type,Implementation Action,Action Detail,Responsible Area,Estimated Hours,Completed,Action Notes,Generated At
app-005,EEEEE,IA,IA-1,IA-1,Policy and Procedures,Control,Locate the enterprise identification and authentication policy and procedures for EEEEE and confirm the application’s compliance obligations,"Use the organisation-level policy as the governing source for the application. Record the applicable scope, roles, responsibilities, and dissemination points for EEEEE.",Engineering Systems Team,2,No,"",2026-06-25 21:30
app-005,EEEEE,IA,IA-1,IA-1,Policy and Procedures,Control,Document EEEEE’s application-specific identification and authentication procedures that implement the enterprise policy,"Capture how the application uses enterprise identity services for users, privileged users, and identity administrators, including the roles that apply to EEEEE.",Engineering Systems Team,6,No,"",2026-06-25 21:30
app-005,EEEEE,IA,IA-1,IA-1,Policy and Procedures,Control,Update EEEEE’s system security plan to reference the identification and authentication policy and procedures,"Include the policy purpose, scope, roles, responsibilities, and the application’s use of inherited enterprise identity controls.",Engineering Systems Team,4,No,"",2026-06-25 21:30
app-005,EEEEE,IA,IA-1,IA-1,Policy and Procedures,Control,"Disseminate the identification and authentication procedures for EEEEE to IAM administrators, system owners, HR/identity lifecycle managers, and security operations",Ensure the relevant operational roles receive the current procedures and understand their responsibilities for the application.,Engineering Systems Team,2,No,"",2026-06-25 21:30
app-005,EEEEE,IA,IA-1,IA-1,Policy and Procedures,Control,"Review and update EEEEE’s identification and authentication procedures after audit findings, security incidents, breach reports, or changes to applicable regulations and guidance",Use the defined triggering events to determine when the application procedures need revision and record the update outcome.,Engineering Systems Team,2,No,"",2026-06-25 21:30
app-005,EEEEE,IA,IA-2,IA-2,Identification and Authentication (Organizational Users),Control,Locate the enterprise identification and authentication policy and confirm EEEEE is aligned to it,Verify the application’s user identification and authentication approach matches the enterprise requirements for uniquely identifying and authenticating organisational users.,Engineering Systems Team,2,No,"",2026-06-25 21:30
app-005,EEEEE,IA,IA-2,IA-2,Identification and Authentication (Organizational Users),Control,Document EEEEE user identification and authentication procedures,"Cover how organisational users are uniquely identified and authenticated for all application access, including local and network access where applicable.",Engineering Systems Team,6,No,"",2026-06-25 21:30
app-005,EEEEE,IA,IA-2,IA-2,Identification and Authentication (Organizational Users),Control,Document how EEEEE associates authenticated users with processes acting on their behalf,"Specify how the application records or carries the unique user identity through sessions, jobs, API calls, or other delegated actions to support accountability.",Engineering Systems Team,6,No,"",2026-06-25 21:30
app-005,EEEEE,IA,IA-2,IA-2,Identification and Authentication (Organizational Users),Control,Confirm EEEEE uses enterprise identity services for organisational user authentication,"Evidence that employees, contractors, and equivalent organisational users authenticate through the approved enterprise IAM, SSO, and MFA services rather than local application-only credentials.",Engineering Systems Team,4,No,"",2026-06-25 21:30
app-005,EEEEE,IA,IA-2,IA-2,Identification and Authentication (Organizational Users),Control,Maintain the EEEEE system security documentation and account records showing unique user identities,"Keep the system security plan, design documentation, and system account list current enough to demonstrate that each organisational user is uniquely identified and authenticated.",Engineering Systems Team,4,No,"",2026-06-25 21:30
app-005,EEEEE,IA,IA-2,IA-2,Identification and Authentication (Organizational Users),Control,Review EEEEE audit records to verify authenticated user identities are attributable to user actions,Check that application audit records show the unique identity of the authenticated user associated with actions performed on their behalf.,Engineering Systems Team,3,No,"",2026-06-25 21:30
app-005,EEEEE,IA,IA-2(1),IA-2(1),Multi-factor Authentication to Privileged Accounts,Enhancement,Locate the enterprise identification and authentication policy and confirm EEEEE’s privileged account access arrangements comply with the required multi-factor authentication standard,"Map the application’s privileged accounts and administrative access paths to the enterprise MFA requirements for local, network, and remote access.",Engineering Systems Team,2,No,"",2026-06-25 21:30
app-005,EEEEE,IA,IA-2(1),IA-2(1),Multi-factor Authentication to Privileged Accounts,Enhancement,Document the privileged accounts used for EEEEE administration and the authentication method applied to each account,"Include all system and application privileged accounts, the access type used, and the MFA mechanism inherited from enterprise identity services.",Engineering Systems Team,4,No,"",2026-06-25 21:30
app-005,EEEEE,IA,IA-2(1),IA-2(1),Multi-factor Authentication to Privileged Accounts,Enhancement,Configure EEEEE to require enterprise multi-factor authentication for all privileged account access,"Ensure privileged users authenticate with two or more factors via the enterprise MFA service for any local, network, or remote administrative access to the application.",Engineering Systems Team,8,No,"",2026-06-25 21:30
app-005,EEEEE,IA,IA-2(1),IA-2(1),Multi-factor Authentication to Privileged Accounts,Enhancement,Update EEEEE system security documentation to record how privileged account MFA is implemented and inherited enterprise controls are used,"Reflect the MFA design, dependencies on enterprise identity services, and the privileged access scope in the system security plan and design documentation.",Engineering Systems Team,4,No,"",2026-06-25 21:30
app-005,EEEEE,IA,IA-2(1),IA-2(1),Multi-factor Authentication to Privileged Accounts,Enhancement,Verify and record that privileged account access to EEEEE succeeds only when multi-factor authentication is used,"Retain configuration evidence, account lists, and audit records demonstrating that privileged accounts cannot access the system without MFA.",Engineering Systems Team,3,No,"",2026-06-25 21:30
app-005,EEEEE,IA,IA-2(2),IA-2(2),Multi-factor Authentication to Non-privileged Accounts,Enhancement,Review the Enterprise identification and authentication policy and confirm EEEEE’s non-privileged account access uses approved multi-factor authentication methods,"Map the application’s local, network and remote non-privileged access paths to the enterprise MFA standard and record any exceptions or gaps for remediation.",Engineering Systems Team,3,No,"",2026-06-25 21:30
app-005,EEEEE,IA,IA-2(2),IA-2(2),Multi-factor Authentication to Non-privileged Accounts,Enhancement,Document EEEEE’s user identification and authentication procedures showing how non-privileged users authenticate with multi-factor authentication,"Include the application’s sign-in flow, the enterprise MFA dependency, and any application-level authentication steps relevant to non-privileged access.",Engineering Systems Team,4,No,"",2026-06-25 21:30
app-005,EEEEE,IA,IA-2(2),IA-2(2),Multi-factor Authentication to Non-privileged Accounts,Enhancement,Update EEEEE system security plan and system design documentation to describe the multi-factor authentication implementation for non-privileged accounts,"Record the authentication architecture, the inherited enterprise MFA service, and the access types covered by the control.",Engineering Systems Team,4,No,"",2026-06-25 21:30
app-005,EEEEE,IA,IA-2(2),IA-2(2),Multi-factor Authentication to Non-privileged Accounts,Enhancement,Verify EEEEE configuration settings and account list to confirm all non-privileged accounts are routed through multi-factor authentication,"Check production configuration, SSO/federation settings, and the current list of system accounts to ensure no non-privileged access path bypasses MFA.",Engineering Systems Team,4,No,"",2026-06-25 21:30
app-005,EEEEE,IA,IA-2(2),IA-2(2),Multi-factor Authentication to Non-privileged Accounts,Enhancement,Collect and retain system audit records demonstrating multi-factor authentication for non-privileged access to EEEEE,"Capture sign-in logs or equivalent records showing successful MFA challenges for local, network and remote access where applicable.",Engineering Systems Team,2,No,"",2026-06-25 21:30
app-005,EEEEE,IA,IA-2(5),IA-2(5),Individual Authentication with Group Authentication,Enhancement,Review the Enterprise identification and authentication policy and document how EEEEE uses individual authentication before any shared account or shared resource access is granted,"Capture the required sequence for users to authenticate individually first, then access any shared account or resource. Reference the application’s authentication flow in the system security plan and procedures.",Engineering Systems Team,4,No,"",2026-06-25 21:30
app-005,EEEEE,IA,IA-2(5),IA-2(5),Individual Authentication with Group Authentication,Enhancement,Update EEEEE system security plan and authentication procedures to describe the control for shared accounts and authenticators,"Include the application-specific process for enforcing individual authentication prior to shared access, and identify where shared accounts or authenticators are used, if applicable.",Engineering Systems Team,4,No,"",2026-06-25 21:30
app-005,EEEEE,IA,IA-2(5),IA-2(5),Individual Authentication with Group Authentication,Enhancement,Document EEEEE system design and configuration settings that implement or rely on individual authentication before shared access,"Record the relevant authentication mechanism, configuration, and any supporting documentation showing how the application ensures users are individually authenticated before shared accounts or resources are granted.",Engineering Systems Team,4,No,"",2026-06-25 21:30
app-005,EEEEE,IA,IA-2(5),IA-2(5),Individual Authentication with Group Authentication,Enhancement,Collect and retain EEEEE evidence showing users are individually authenticated before shared accounts or resources are accessed,"Assemble audit records, account lists, and other relevant records that demonstrate the control is operating as intended for the production environment.",Engineering Systems Team,3,No,"",2026-06-25 21:30
